elapsedtime,Timestamp,SortedPointCloud,Keypoints3D,label
17.76337624,48:55.9,"[-1.36973053  6.10684047  0.19567579],[-1.06852169  3.5755635  -0.7123478 ],[-1.04873423  3.50934929 -0.69915616],[-1.02894683  3.4431353  -0.68596456],[-1.0025636   3.88088923 -0.12532045],[-1.00256354  3.88291212  0.        ],[-0.98497475  3.81280338 -0.12312184],[-0.98497475  3.81280338  0.12312184],[-0.98497469  3.81479078  0.        ],[-0.96738595  3.74471776 -0.12092324],[-0.9497971   3.67663192  0.11872464],[-0.94979707  3.58343918 -0.83107248],[-0.94979707  3.58343918 -0.83107248],[-0.94979705  3.67854834  0.        ],[-0.93220823  3.54208466 -0.69915616],[-0.93220822  3.51707913 -0.81568223],[-0.93220822  3.51707913 -0.81568223],[-0.91461944  3.47525302 -0.68596456],[-0.91461943  3.45071929 -0.80029204],[-0.91461943  3.45071929 -0.80029204],[-0.89703057  3.38435924 -0.78490179],[-0.84646273  3.77582706  0.        ],[-0.8464627   3.77389025  0.12092324],[ 6.13410633  1.55806446 -0.1978744 ]","[ 0.08510423  3.7839723  -0.24084552],[ 0.07329687  3.7382789  -0.24979189],[ 0.07259585  3.7777886  -0.29242992],[ 0.07093002  3.7732382  -0.31720066],[ 0.0731218   3.7480674  -0.26043934],[ 0.09427789  3.7469134  -0.26113728],[ 0.10940146  3.787554   -0.2927177 ],[ 0.10940146  3.787554   -0.32509372],[ 0.10940146  3.787554   -0.33833104],[ 0.05149156  3.7268429  -0.25992635],[ 0.03273454  3.758759   -0.28909165],[ 0.03273454  3.758759   -0.3217157 ],[ 0.03273454  3.758759   -0.33505446],[ 0.08489816  3.7723768  -0.32963783],[ 0.08098504  3.734188   -0.38465315],[ 0.08687486  3.9382753  -0.4147859 ],[ 0.05513321  3.749826   -0.32808578],[ 0.0392641  3.54206   -0.3778927],[ 0.02877575  3.4410803  -0.43448374]",Righthand wave
47.48153687,48:56.0,"[-1.02894689  3.38957215 -0.9146194 ],[-1.00915943  3.324388   -0.89703055],[-1.00915943  3.324388   -0.89703055],[-0.96738599  3.73885594  0.24184649],[-0.80029202  3.56804171 -0.11432743],[-0.80029202  3.56804171 -0.11432743],[-0.78490176  3.49403203 -0.22425765],[-0.78490176  3.48502446 -0.33638646],[-0.71234784  3.72424633  0.23744927],[-0.71234784  3.72424633  0.23744927],[-0.71234781  3.70146786  0.47489853],[-0.6991562   3.65527873  0.23305206],[-0.69915616  3.66270063  0.        ],[-0.69256047  1.37817797  4.15536216],[-0.68596456  3.59359323  0.        ],[-0.58263013  3.68303372  0.        ]","[ 0.06192844  3.6563656  -0.2277976 ],[ 0.06921673  3.6899652  -0.24144931],[ 0.0681892   3.7178876  -0.28483248],[ 0.06783693  3.714084   -0.3110491 ],[ 0.06895916  3.6969256  -0.2523247 ],[ 0.08763073  3.6804194  -0.25679654],[ 0.10201618  3.7126493  -0.28928164],[ 0.10201618  3.7126493  -0.32231373],[ 0.10201618  3.7126493  -0.3358193 ],[ 0.04885718  3.6728108  -0.25508124],[ 0.03236632  3.6914442  -0.28649548],[ 0.03236632  3.6914442  -0.31971732],[ 0.03236632  3.6914442  -0.33330044],[ 0.07980222  3.7128851  -0.3288067 ],[ 0.08343628  3.7238271  -0.3830251 ],[ 0.08343628  3.7238271  -0.43544504],[ 0.053911    3.6861763  -0.32727367],[ 0.03625256  3.4784274  -0.37753573],[ 0.02385496  3.3218446  -0.4352311 ]",Righthand wave
54.83555794,48:56.1,"[-1.97874399  6.01160524 -0.1978744 ],[-1.78086965  6.07316463 -0.1978744 ],[-1.76108209  6.00887187  0.        ],[-1.76108209  6.00887187  0.        ],[-1.30597104  3.56569438  0.11872464],[-1.18724638  3.60891651  0.        ],[-1.18724638  3.60891651  0.        ],[-1.04873429  3.56120019 -0.34957808],[-1.02894692  3.50893961 -0.11432743],[-1.02894692  3.50893961 -0.11432743],[-1.00915947  3.43597552 -0.22425765],[-0.989372    3.36860338 -0.21986044],[-0.98937193  3.33072233 -0.54965107],[-0.93220828  3.6028974  -0.23305206],[-0.91461949  3.53491836 -0.22865486],[-0.91461942  3.38957215 -1.02894686],[-0.91461941  3.49587786 -0.57163714],[-0.89703064  3.35638114 -0.89703055],[-0.89703063  3.46693909 -0.22425765],[-0.8970306   3.45786095 -0.33638646],[-0.89703056  3.42864937 -0.5606441 ],[-0.87944178  3.29056968 -0.87944169],[-0.87944175  3.39005969 -0.32979064]","[ 0.04838859  3.5368524  -0.22931899],[ 0.05399813  3.5591438  -0.24473196],[ 0.05707498  3.6063528  -0.28887856],[ 0.05749017  3.5986576  -0.31641096],[ 0.05477449  3.5709388  -0.2558712 ],[ 0.07512148  3.5542064  -0.25836664],[ 0.09202223  3.5940125  -0.29077956],[ 0.10218352  3.5636947  -0.32348987],[ 0.10638806  3.551299   -0.33702472],[ 0.03200242  3.5383654  -0.25812247],[ 0.01776272  3.564795   -0.29158342],[ 0.01776272  3.564795   -0.32599622],[ 0.01776272  3.564795   -0.34006634],[ 0.07196362  3.580648   -0.33258685],[ 0.07679154  3.5698652  -0.38932565],[ 0.07679154  3.5698652  -0.4438503 ],[ 0.04262239  3.5477028  -0.33213007],[ 0.02936053  3.3622744  -0.38722974],[ 0.02056389  3.2521787  -0.44839814]",Righthand wave
14.76287842,48:56.1,"[-1.54781754  5.98216933  0.38695437],[-1.36973053  6.10684047  0.19567579],[-1.0729189   4.15323217 -0.13411486],[-1.04873432  3.57641906 -0.11652603],[-1.04873432  3.57641906 -0.11652603],[-1.04873426  3.57831688  0.        ],[-0.989372    3.36860338 -0.21986044],[-0.98937195  3.34700957 -0.43972085],[-0.96958461  3.30123147 -0.21546324],[-0.96958456  3.28006953 -0.43092645],[-0.96958452  3.2444929  -0.64638969],[-0.91461949  3.53491836 -0.22865486],[-0.91461945  3.54046045 -0.11432743],[-0.80029204  3.56987288  0.        ],[-0.78490177  3.49942545 -0.11212882],[-0.78490176  3.49403203 -0.22425765],[-0.75192272  3.84020792 -0.87724317],[-0.75192272  3.84020792 -0.87724317]","[ 0.03794289  3.436848   -0.22865742],[ 0.04137774  3.4583023  -0.24522983],[ 0.04806855  3.5029306  -0.2904653 ],[ 0.04878445  3.494861   -0.3192421 ],[ 0.04306805  3.469469   -0.25665772],[ 0.0659804  3.490385  -0.2550522],[ 0.08396219  3.5349658  -0.28740224],[ 0.09085576  3.5040386  -0.32200047],[ 0.09367828  3.4915311  -0.33616638],[ 0.02053158  3.4698074  -0.26030427],[ 0.0072304   3.5005176  -0.29447895],[ 0.0072304   3.5005176  -0.32993603],[ 0.0072304   3.5005176  -0.34427518],[ 0.06501776  3.5171378  -0.33353302],[ 0.07668479  3.49342    -0.3905119 ],[ 0.07668479  3.49342    -0.44664067],[ 0.03296547  3.4782138  -0.3350136 ],[ 0.0228619   3.2993634  -0.39205968],[ 0.01743297  3.2079775  -0.45508352]",Righthand wave
47.18613625,48:56.3,"[-1.14327428  3.46772268  0.22865486],[-1.09930214  3.33434859 -0.21986044],[-1.07731619  3.27298513  0.10773162],[-1.07731615  3.26766177  0.21546324],[-1.05533016  4.08514678  0.13191627],[-1.02894693  3.50334767  0.22865486],[-0.98937197  3.35962283 -0.32979064],[-0.98937193  3.33072233 -0.54965107],[-0.96958458  3.29243053 -0.32319485],[-0.96958456  3.28006953 -0.43092645],[-0.94979715  3.23385933 -0.21106602],[-0.94979714  3.23902112  0.10553301],[-0.94979709  3.24073991  0.        ]","[ 0.03380358  3.3859115  -0.22262943],[ 0.03692867  3.4059145  -0.23986267],[ 0.0439371  3.4462821 -0.2860435],[ 0.04488188  3.4368427  -0.31579125],[ 0.03870013  3.4160283  -0.2515353 ],[ 0.06178612  3.420104   -0.24958159],[ 0.07930654  3.4724212  -0.28372297],[ 0.08855569  3.4129722  -0.31775844],[ 0.09238239  3.3889673  -0.33184013],[ 0.0138602  3.387342  -0.2538293],[-1.3415962e-03  3.3970039e+00 -2.9024714e-01],[-0.00611043  3.353092   -0.3271437 ],[-0.00707924  3.3443096  -0.33463928],[ 0.06044744  3.431637   -0.3303348 ],[ 0.07034971  3.3583622  -0.39073452],[ 0.07034971  3.3583622  -0.44908547],[ 0.02996661  3.4052172  -0.33217335],[ 0.0195736   3.2538946  -0.39295366],[ 0.017369   3.2095342 -0.4555632]",Righthand wave
60.73307991,48:56.4,"[-1.64895319  2.98030536  0.87944169],[-1.45767467  3.24786711  0.44851528],[-1.42909281  3.19743901  0.32979064],[-1.25760169  3.41837108  0.34298228],[-1.23341705  3.36199539  0.22425765],[-1.18724648  4.04877657 -0.13191627],[-1.18504782  3.14827105 -0.75412135],[-1.18504777  3.2085218   0.43092645],[-1.16745895  3.98340957  0.        ],[-1.07731619  3.27298513  0.10773162],[-1.00915939  3.35263309 -0.78490179],[-0.98937195  3.34700957 -0.43972085],[-0.98937193  3.33072233 -0.54965107],[-0.96958456  3.28006953 -0.43092645],[-0.95419427  4.17706818 -0.81788078],[-0.94979715  3.23385933  0.21106602],[-0.94979714  3.23902112  0.10553301],[-0.94979709  3.21312927 -0.42213203],[-0.94979708  3.19749352  0.52766504],[-0.93000968  3.17154144  0.10333441],[-0.86185298  3.33098078 -0.21546324],[-0.8442641   3.26811728 -0.10553301],[-0.82667519  3.20169943  0.        ],[-0.82667519  3.20169943  0.        ]","[ 0.02874905  3.3126025  -0.21633355],[ 0.03289564  3.3342948  -0.23397402],[ 0.04032302  3.3906684  -0.28191227],[ 0.04157303  3.37556    -0.3120324 ],[ 0.03473669  3.3480928  -0.24585654],[ 0.0575389   3.3454127  -0.24740061],[ 0.07568006  3.3940613  -0.28296688],[ 0.0788991   3.3243313  -0.31940994],[ 0.08022316  3.296475   -0.33439958],[ 0.00918913  3.310818   -0.24974641],[-0.00953357  3.3113775  -0.28647807],[-0.01456669  3.2319937  -0.32388863],[-0.01560311  3.216117   -0.33159238],[ 0.0573179   3.3545616  -0.32741255],[ 0.05746521  3.2476497  -0.39058298],[ 0.05746521  3.2476497  -0.45062345],[ 0.02575982  3.3380249  -0.32873186],[ 0.01669537  3.2303956  -0.39223397],[ 0.016597    3.2064013  -0.45401236]",Righthand wave
18.5072422,48:56.4,"[-1.70171994  5.80324638  0.18907999],[-1.53022868  5.91419006  0.38255716],[-1.51263989  5.855377    0.18907999],[-1.34554592  3.29590084  0.44851528],[-1.16745895  3.98340957  0.        ],[-1.12128821  3.40103563  0.22425765],[-0.98937197  3.25920385 -0.87944169],[-0.96958461  3.30123147 -0.21546324],[-0.96958458  3.29243053 -0.32319485],[-0.96958458  3.29243053 -0.32319485],[-0.94979715  3.23385933 -0.21106602],[-0.94979714  3.23902112 -0.10553301],[-0.94979714  3.23902112  0.10553301],[-0.93000968  3.17154144 -0.10333441],[-0.93000968  3.17154144  0.10333441],[-0.93000966  3.15804547  0.31000321],[-0.87944172  3.31799918 -0.76951154],[-0.8618529   3.31000905 -0.43092645],[-0.8442641   3.25445738 -0.31659903],[-0.72334082  3.21168915 -0.31000321],[-0.60681482  3.16443575 -0.30340741]","[ 0.02450472  3.269219   -0.21378446],[ 0.02850512  3.2838998  -0.23178907],[ 0.03758954  3.341593   -0.2813703 ],[ 0.0392244   3.3320584  -0.31170523],[ 0.03072079  3.2977867  -0.24388175],[ 0.0542845   3.3163145  -0.24544834],[ 0.07276024  3.355936   -0.28142253],[ 0.07901634  3.277866   -0.3180857 ],[ 0.08156098  3.2471406  -0.33299837],[ 0.00592904  3.2885067  -0.24935566],[-0.01207344  3.2790084  -0.28691933],[-0.02141555  3.2298062  -0.32596537],[-0.02331822  3.219966   -0.33391777],[ 0.05533998  3.3276072  -0.32929075],[ 0.05364913  3.2242591  -0.3930303 ],[ 0.05217807  3.204436   -0.45454052],[ 0.02375148  3.3148718  -0.33000877],[ 0.01500961  3.2129538  -0.3939334 ],[ 0.01615825  3.2020354  -0.45512736]",Righthand wave
50.78005791,48:56.6,"[-1.8907998   5.73507992  0.37815997],[-1.31916264  3.23127526  0.43972085],[-1.16086314  3.0568161  -0.84426405],[-1.09930219  3.3415893   0.        ],[-1.07731615  3.24628099 -0.43092645],[-1.05533012  3.20618945 -0.10553301],[-1.05533008  3.18003029 -0.42213203],[-1.03334406  3.14109395  0.        ],[-1.03334403  3.12575899 -0.31000321],[-0.96958456  3.28006953 -0.43092645],[-0.96958453  3.22115737 -0.75412135],[-0.93000969  3.16648719  0.20666881],[-0.91022229  3.10406199  0.10113581],[-0.86185295  3.32225865  0.32319485],[-0.82667519  3.1749065   0.4133376 ],[-0.73873106  3.26811729  0.42213203],[-0.51667205  3.15973563  0.82667519],[ 5.54707859  2.55913324 -0.38255716],[ 5.67239967  2.07126712 -0.37815997]","[ 0.02540343  3.2543726  -0.21218993],[ 0.0282073   3.2669666  -0.23086499],[ 0.03604543  3.304872   -0.28309828],[ 0.03733724  3.291208   -0.3152801 ],[ 0.03008394  3.2759626  -0.24337083],[ 0.05431114  3.28025    -0.2453193 ],[ 0.0722665   3.3244083  -0.28236404],[ 0.07549094  3.220232   -0.31799164],[ 0.07616103  3.1993966  -0.32539555],[ 0.00406592  3.2594187  -0.24838403],[-0.01282993  3.2632537  -0.28687376],[-0.02059366  3.1804323  -0.32520053],[-0.02219519  3.1638682  -0.33310667],[ 0.052976   3.2804835 -0.331918 ],[ 0.05195196  3.1801255  -0.39717516],[ 0.04867509  3.163727   -0.45808804],[ 0.02148953  3.2701848  -0.33241975],[ 0.01324098  3.1850913  -0.3978539 ],[ 0.01543096  3.1905525  -0.4572745 ]",Righthand wave
61.06638908,48:56.7,"[-1.89079982  5.71947422  0.56723994],[-1.70171995  5.79399817  0.37815997],[-1.16086311  2.95115286 -1.16086316],[-1.13667846  2.99313236 -0.82667519],[-1.07731616  3.09247921 -1.07731619],[-1.01135802  3.04752911 -0.4045432 ],[-0.96958454  3.26410803 -0.53865807],[-0.84426409  3.20792582 -0.63319805],[-0.82667519  3.1749065  -0.4133376 ],[-0.8090864   3.10735546 -0.4045432 ],[-0.79149762  3.05906393 -0.1978744 ],[-0.75412134  3.32051147  0.53865807],[-0.75412131  3.34835692  0.32319485],[-0.73873109  3.25274586  0.52766504],[-0.73873107  3.28002304  0.31659903],[-0.72334082  3.14449157  0.72334085],[-0.72334081  3.20003144  0.4133376 ],[-0.70795063  3.1433555  -0.30340741],[-0.69256038  3.07502161 -0.29681159]","[ 0.0304005   3.247508   -0.21284974],[ 0.03226866  3.2429335  -0.23198862],[ 0.03670858  3.2647302  -0.2864759 ],[ 0.03651024  3.2461748  -0.3201456 ],[ 0.03332791  3.2481072  -0.24498793],[ 0.05883053  3.2449663  -0.24678795],[ 0.07233416  3.270232   -0.28706753],[ 0.074954    3.1687417  -0.32521793],[ 0.07549822  3.1484437  -0.33314314],[ 0.00630732  3.2262924  -0.2487873 ],[-0.01156111  3.2477603  -0.28691477],[-0.02220391  3.135078   -0.32467633],[-0.02442491  3.1125414  -0.33255675],[ 0.05278227  3.2378304  -0.33511612],[ 0.05123001  3.1524177  -0.40476137],[ 0.04825549  3.1634347  -0.46493608],[ 0.01927492  3.2286077  -0.33506653],[ 0.01111478  3.1488512  -0.4047481 ],[ 0.0154139   3.187565   -0.46268058]",Righthand wave
62.52932549,48:56.8,"[-1.70171995  5.79399817  0.37815997],[-1.68193243  5.71135908  0.56064412],[-1.20923242  3.30156881  0.10993022],[-1.18504783  3.23553759  0.10773162],[-1.05533009  3.20097473  0.21106602],[-0.96958461  3.30123147  0.21546324],[-0.96958452  3.2444929   0.64638969],[-0.91022224  3.07924897  0.4045432 ],[-0.84426404  3.24245778  0.42213203],[-0.84426404  3.24245778  0.42213203],[-0.84426404  3.24245778  0.42213203],[-0.82667525  3.18665611  0.31000321],[-0.82667519  3.1749065   0.4133376 ],[-0.82667519  3.1749065   0.4133376 ],[-0.80908648  3.1270432   0.20227161],[-0.80908648  3.1270432   0.20227161],[-0.69256039  3.08296947 -0.1978744 ],[-0.69256039  3.08296947 -0.1978744 ]","[ 0.03478965  3.2319736  -0.21335843],[ 0.03618161  3.2231743  -0.2328571 ],[ 0.03923866  3.2347343  -0.28851026],[ 0.03785793  3.215817   -0.32264325],[ 0.03691414  3.2259367  -0.24619259],[ 0.06338616  3.2395804  -0.24769524],[ 0.07490577  3.2594678  -0.28966263],[ 0.0739938  3.1326764 -0.3274528],[ 0.07380247  3.107318   -0.3353809 ],[ 0.00988142  3.2248967  -0.24850947],[ 0.00988142  3.2248967  -0.29252753],[ 0.00988142  3.2248967  -0.334576  ],[ 0.00988142  3.2248967  -0.3510871 ],[ 0.05437133  3.2170196  -0.3362957 ],[ 0.05120583  3.1292768  -0.40819025],[ 0.0481417   3.1643388  -0.46728534],[ 0.02021635  3.2117198  -0.33493665],[ 0.01053195  3.136603   -0.40651363],[ 0.01537198  3.1871893  -0.464118  ]",Righthand wave
