# CSV-File created with merge-csv.com
# -----------------------------------------------------------

elapsedtime,Timestamp,SortedPointCloud,Keypoints3D,label
68.75252723693848,2024-06-24 14:49:55.836698,"[-1.33015565  3.60140198  0.48369295],[-1.33015564  3.56056845  0.72553944],[-1.23121844  3.74055424  0.12312184],[-1.12788403  3.8483786   0.        ],[-1.12788403  3.8483786   0.        ],[-1.12788403  3.8483786   0.        ],[-1.10809657  3.78086311  0.        ],[-1.10809657  3.78086311  0.        ],[-1.06852178  3.63809172  0.23744927],[-1.06852175  3.62839272  0.3561739 ],[-1.06852175  3.62839272  0.3561739 ],[-1.04873429  3.56120019  0.34957808],[-1.04873426  3.54783013 -0.4661041 ],[-1.04873424  3.48410882 -0.81568223],[-1.02894687  3.4808901  -0.4573097 ],[-1.02894686  3.51080162  0.        ],[-0.93220828  3.6028974   0.23305206],[ 6.00219014  2.07921959 -0.80029198],[ 6.00219018  2.14554376 -0.600219  ]","[ 0.08011054  3.7727675  -0.21204458],[ 0.07339455  3.7718296  -0.22724783],[ 0.07031099  3.7945306  -0.27345735],[ 0.06878848  3.7851295  -0.3009623 ],[ 0.07263875  3.7773683  -0.23857386],[ 0.09527963  3.7785325  -0.23851746],[ 0.10365054  3.782272   -0.277356  ],[ 0.10283104  3.7009373  -0.31133583],[ 0.1026628   3.6846702  -0.31831187],[ 0.05010581  3.7798193  -0.23399279],[ 0.03802949  3.7963047  -0.2714407 ],[ 0.04113969  3.6990435  -0.30362827],[ 0.0424411  3.6598098 -0.3170965],[ 0.08479682  3.8064504  -0.3075752 ],[ 0.07943848  3.771775   -0.36426622],[ 0.07913965  3.8860793  -0.40904072],[ 0.05208682  3.7790368  -0.30663338],[ 0.04915515  3.563157   -0.35812262],[ 0.04361787  3.4919136  -0.41657007]",Righthand wave
45.38726806640625,2024-06-24 14:49:55.897049,"[-1.78086966  6.06348627  0.3957488 ],[-1.60058404  6.19580578  0.20007301],[-1.58299519  6.12771994  0.1978744 ],[-1.18724638  3.55975981  0.59362316],[-1.06852178  3.64389873  0.11872464],[-1.04873432  3.57641906 -0.11652603],[-1.02894685  3.41837106 -0.80029204],[-0.96738595  3.74471776  0.12092324],[-0.9673859   3.74666968  0.        ],[-0.93220823  3.54208466 -0.69915616],[-0.93220822  3.51707913 -0.81568223],[-0.93220821  3.56310612 -0.58263013],[-0.91461949  3.42219261 -0.9146194 ],[-0.91461943  3.45071929 -0.80029204]","[ 0.08441235  3.7794623  -0.21148352],[ 0.07152905  3.7389965  -0.22098301],[ 0.07127462  3.8017936  -0.26589513],[ 0.07005516  3.785692   -0.29296654],[ 0.07146533  3.7545238  -0.23222776],[ 0.09303866  3.7400022  -0.23310786],[ 0.10123786  3.7422166  -0.27123976],[ 0.10122114  3.6812906  -0.30563816],[ 0.10121775  3.6691053  -0.31265494],[ 0.04928592  3.7451503  -0.23120244],[ 0.03698058  3.7833815  -0.2668999 ],[ 0.03380547  3.7084346  -0.30034876],[ 0.03246748  3.6777334  -0.31444436],[ 0.08287056  3.7897837  -0.30328417],[ 0.08063971  3.7842975  -0.3607812 ],[ 0.07941592  3.8998013  -0.40669373],[ 0.05581947  3.7627833  -0.30189395],[ 0.04759856  3.5529304  -0.35551658],[ 0.04086566  3.4115674  -0.4151985 ]",Righthand wave
41.748762130737305,2024-06-24 14:49:56.017182,"[-1.58299519  6.12771994  0.1978744 ],[-1.23121844  3.74258     0.        ],[-1.20923245  3.67574836  0.        ],[-1.20923245  3.67574836  0.        ],[-1.18724638  3.60891651  0.        ],[-1.18724638  3.60891651  0.        ],[-1.16526031  3.54208465  0.        ],[-1.16526031  3.54016742 -0.11652603],[-1.16526027  3.5344095  -0.23305206],[-1.14327429  3.45828668 -0.34298228],[-1.08830924  3.71137841 -0.12092324],[-1.06852178  3.64389873 -0.11872464],[-1.06852175  3.62839272 -0.3561739 ],[-1.04873424  3.53056566 -0.58263013],[-1.04873424  3.48410882 -0.81568223],[-1.02894693  3.50334767 -0.22865486],[-1.02894685  3.46395136 -0.57163714],[-1.02894685  3.41837106 -0.80029204],[-1.00915946  3.44145993 -0.11212882],[-1.00915943  3.42681536 -0.33638646],[-1.00915943  3.324388   -0.89703055],[-1.00915939  3.39733685 -0.5606441 ]","[ 0.05474181  3.6146026  -0.20724383],[ 0.06476715  3.6656206  -0.22004367],[ 0.06494202  3.7054138  -0.2675983 ],[ 0.06485437  3.6994436  -0.29536763],[ 0.06480993  3.6752799  -0.23168157],[ 0.08662416  3.664713   -0.23336016],[ 0.0967865  3.666503  -0.2720017],[ 0.09953701  3.6089811  -0.3065034 ],[ 0.10009766  3.5974767  -0.31353614],[ 0.04175203  3.6522894  -0.23196606],[ 0.02932812  3.682438   -0.26912826],[ 0.02756432  3.6236918  -0.3036176 ],[ 0.02681454  3.5992842  -0.31827816],[ 0.08106485  3.7167702  -0.30518636],[ 0.079927    3.748017   -0.36328834],[ 0.07807274  3.8571427  -0.4112016 ],[ 0.04833184  3.6762955  -0.30539167],[ 0.04384676  3.4575636  -0.360866  ],[ 0.03924404  3.3639593  -0.42420557]",Righthand wave
56.91170692443848,2024-06-24 14:49:56.083114,"[-1.33015572  3.63373842  0.        ],[-1.30597105  3.56767038  0.        ],[-1.20923245  3.67375878 -0.12092324],[-1.18724638  3.6069631  -0.11872464],[-1.18724634  3.60109654 -0.23744927],[-1.16526031  3.54208465  0.        ],[-1.16526031  3.54208465  0.        ],[-1.16526031  3.54016742  0.11652603],[-1.02894687  3.4808901  -0.4573097 ],[-1.02894686  3.51080162  0.        ],[-1.02894686  3.51080162  0.        ],[-1.02894683  3.4431353  -0.68596456],[-1.00915946  3.44145993 -0.11212882],[-1.00915943  3.324388   -0.89703055],[-1.00915941  3.41394983 -0.44851528],[-1.00915937  3.37692109 -0.67277292],[-0.989372    3.37398025 -0.10993022],[-0.98937195  3.34700957 -0.43972085],[-0.98937191  3.31070689 -0.65958128],[-0.8970306   3.4723746  -0.11212882]","[ 0.0481274   3.5969324  -0.21346056],[ 0.06320725  3.6359732  -0.22189458],[ 0.0622302   3.6717153  -0.26988515],[ 0.06173117  3.666147   -0.297608  ],[ 0.06296825  3.6446521  -0.23363419],[ 0.08614595  3.6337173  -0.23403172],[ 0.09594515  3.6416328  -0.27243346],[ 0.09918824  3.5912683  -0.30727887],[ 0.09984781  3.5811954  -0.31436557],[ 0.03975908  3.624042   -0.23380361],[ 0.02764848  3.6586473  -0.2705134 ],[ 0.02594067  3.5883396  -0.30480275],[ 0.02521041  3.559095   -0.31946445],[ 0.07830584  3.6788912  -0.30595133],[ 0.07958339  3.734121   -0.36399153],[ 0.07782187  3.850915   -0.41165358],[ 0.04472573  3.6468701  -0.30620942],[ 0.0427101   3.4347823  -0.36335146],[ 0.03832982  3.3370366  -0.42761946]",Righthand wave
43.28179359436035,2024-06-24 14:49:56.200961,"[-1.28178637  3.50160234  0.        ],[-1.28178636  3.49966293  0.11652603],[-1.16526027  3.5344095  -0.23305206],[-1.14327432  3.47525301  0.        ],[-1.14327428  3.46772268  0.22865486],[-1.12128821  3.40103563 -0.22425765],[-1.12128821  3.40103563  0.22425765],[-1.09930216  3.32527551 -0.32979064],[-1.07731615  3.26766177 -0.21546324],[-1.02894693  3.50334767 -0.22865486],[-1.00915943  3.42681536  0.33638646],[-1.0091594   3.44328614  0.        ],[-1.00915939  3.39733685 -0.5606441 ],[-0.989372    3.36860338  0.21986044],[-0.989372    3.37398025  0.10993022],[-0.98937194  3.37577065  0.        ],[-0.98937193  3.33072233 -0.54965107],[-0.96958461  3.30123147  0.21546324],[-0.96958461  3.30123147  0.21546324],[-0.9695846   3.3065008   0.10773162],[-0.89263341  3.81279846 -1.14767149]","[ 0.05211535  3.4945605  -0.19753553],[ 0.05392037  3.5217505  -0.21505114],[ 0.05614001  3.5815544  -0.26465952],[ 0.0554579   3.5711067  -0.29403615],[ 0.05445838  3.5360618  -0.22707523],[ 0.07776892  3.5103672  -0.2271244 ],[ 0.08746959  3.5269837  -0.26669568],[ 0.08956133  3.4739764  -0.30310598],[ 0.08998735  3.4633749  -0.31052178],[ 0.0301383   3.5199075  -0.22813559],[ 0.02216606  3.5392761  -0.26765135],[ 0.01637079  3.4721217  -0.30353975],[ 0.01518475  3.458691   -0.31088468],[ 0.07060409  3.5808783  -0.3061993 ],[ 0.07736386  3.7056038  -0.35943845],[ 0.07750347  3.8131652  -0.40703055],[ 0.03957643  3.5513775  -0.30600488],[ 0.03612393  3.3647966  -0.36555818],[ 0.03745741  3.287474   -0.42906582]",Righthand wave
17.0135498046875,2024-06-24 14:49:56.277967,"[-1.14327432  3.47337196 -0.11432743],[-1.12128826  3.36199538 -0.5606441 ],[-1.12128825  3.40657627 -0.11212882],[-1.12128821  3.37878217 -0.44851528],[-1.09930219  3.29607384 -0.54965107],[-1.09930214  3.31253147 -0.43972085],[-1.07731615  3.24628099 -0.43092645],[-1.02894689  3.49400789 -0.34298228],[-1.00915943  3.42681536 -0.33638646],[-0.98937194  3.37577065  0.        ],[-0.98937194  3.37577065  0.        ],[-0.96958461  3.30123147  0.21546324],[-0.9695846   3.3065008   0.10773162],[-0.96958455  3.30825539  0.        ],[-0.94979715  3.23385933  0.21106602],[-0.94979709  3.24073991  0.        ],[-0.9146194   3.51266265 -0.4573097 ],[-0.86185298  3.33098078 -0.21546324],[-0.84426413  3.26300151 -0.21106602]","[ 0.04391567  3.4099665  -0.18971357],[ 0.04702392  3.4346676  -0.20772283],[ 0.0503649   3.4974148  -0.25744724],[ 0.05060926  3.4964359  -0.2883785 ],[ 0.04785311  3.4500296  -0.2200637 ],[ 0.07108217  3.4313283  -0.22274503],[ 0.08426002  3.4448328  -0.2631799 ],[ 0.08373049  3.3816912  -0.3014953 ],[ 0.08362222  3.3690627  -0.30933073],[ 0.02406868  3.4426966  -0.2240481 ],[ 0.01215555  3.4632208  -0.2641891 ],[ 0.00987497  3.3972125  -0.30222332],[ 0.00940816  3.3840108  -0.31000823],[ 0.06632966  3.5083115  -0.30405006],[ 0.06718081  3.4949238  -0.36621073],[ 0.07340032  3.6971235  -0.40348178],[ 0.0345208   3.4826236  -0.30373868],[ 0.03236021  3.3436666  -0.36611146],[ 0.03633994  3.2823172  -0.4289939 ]",Righthand wave
63.25030326843262,2024-06-24 14:49:56.440184,"[-1.37192914  3.38378295  0.22865486],[-1.34554586  3.31871013  0.22425765],[-1.25760178  3.43553452  0.        ],[-1.2334171   3.36946648  0.        ],[-1.14327428  3.46772268 -0.22865486],[-1.12128826  3.36199538 -0.5606441 ],[-1.12128822  3.39178109 -0.33638646],[-1.09930219  3.3415893   0.        ],[-1.09930219  3.2758467  -0.65958128],[-1.09930218  3.33978059  0.10993022],[-1.09930214  3.33434859 -0.21986044],[-1.09930214  3.31253147 -0.43972085],[-1.07731619  3.27298513 -0.10773162],[-1.07731619  3.27298513  0.10773162],[-1.07731615  3.24628099 -0.43092645],[-1.05533012  3.20618945  0.10553301],[-1.05533008  3.18003029 -0.42213203],[-1.03334402  3.13428768  0.20666881],[-0.96958455  3.30825539  0.        ],[-0.94979714  3.23902112 -0.10553301],[-0.94979709  3.24073991  0.        ],[-0.93000968  3.17154144 -0.10333441]","[ 0.03351308  3.3379476  -0.19258535],[ 0.04249604  3.3741548  -0.20893139],[ 0.04701999  3.4232688  -0.26011956],[ 0.04783313  3.423831   -0.29135916],[ 0.04361556  3.386177   -0.2215986 ],[ 0.06881274  3.3608208  -0.22125113],[ 0.07784894  3.3692653  -0.26378414],[ 0.07808636  3.3008451  -0.30360115],[ 0.078135    3.287161   -0.31176347],[ 0.01684527  3.3633153  -0.22425483],[ 0.00409855  3.3634279  -0.2658285 ],[-2.1752715e-04  3.2868738e+00 -3.0548173e-01],[-1.1049509e-03  3.2715631e+00 -3.1363505e-01],[ 0.0643592   3.4280744  -0.30454904],[ 0.06257755  3.3740509  -0.3700639 ],[ 0.06831308  3.5835557  -0.40690762],[ 0.03186072  3.4196398  -0.30531293],[ 0.02965462  3.306455   -0.37079567],[ 0.03529508  3.26843    -0.43348056]",Righthand wave
33.83207321166992,2024-06-24 14:49:56.496405,"[-1.37192915  3.38957215  0.11432743],[-1.34554587  3.30922538  0.33638646],[-1.34554587  3.324388    0.11212882],[-1.2334171   3.36760026  0.11212882],[-1.20923242  3.30156881  0.10993022],[-1.20923237  3.29607385  0.21986044],[-1.13667843  3.07756159  0.4133376 ],[-1.12128822  3.39178109 -0.33638646],[-1.07731619  3.27475767  0.        ],[-1.07731616  3.25877016  0.32319485],[-1.05533013  3.20792581  0.        ],[-1.03334402  3.11377959  0.4133376 ],[-1.03334402  3.11377959  0.4133376 ],[-0.989372    3.36860338 -0.21986044],[-0.989372    3.36860338 -0.21986044],[-0.96958461  3.30123147 -0.21546324],[-0.9695846   3.3065008  -0.10773162],[-0.96958458  3.29243053 -0.32319485],[-0.94979714  3.23902112  0.10553301],[-0.94979712  3.225238    0.31659903],[-0.87944169  3.3775601  -0.43972085],[-0.84426413  3.26300151 -0.21106602],[-0.8442641   3.26811728 -0.10553301]","[ 0.03179429  3.2735136  -0.18913813],[ 0.03772597  3.3258188  -0.20643845],[ 0.04616396  3.3962655  -0.25750545],[ 0.04733574  3.3924997  -0.28942534],[ 0.03981915  3.3430202  -0.21910635],[ 0.06383437  3.3051353  -0.21894819],[ 0.07676937  3.3444018  -0.26172242],[ 0.07850654  3.269193   -0.30213374],[ 0.07886361  3.254151   -0.31044012],[ 0.01203918  3.308326   -0.22254919],[ 6.9116056e-04  3.3001668e+00 -2.6639193e-01],[-0.00473782  3.2130845  -0.30707374],[-0.00585914  3.195668   -0.31547615],[ 0.06385992  3.3957894  -0.30176756],[ 0.06073116  3.3187437  -0.36963215],[ 0.06512094  3.451183   -0.41871294],[ 0.03198217  3.3801966  -0.30394858],[ 0.03001533  3.3012476  -0.3721777 ],[ 0.0354321   3.2700899  -0.43477416]",Righthand wave
21.95262908935547,2024-06-24 14:49:56.581703,"[-1.16086315  3.16950614 -0.10553301],[-1.16086311  3.16423097 -0.21106602],[-1.13667844  3.06190844  0.51667201],[-1.12128822  3.39178109 -0.33638646],[-1.12128822  3.39178109 -0.33638646],[-1.11249385  2.9967616   0.50567901],[-1.09930218  3.33978059 -0.10993022],[-1.09930216  3.32527551 -0.32979064],[-1.09930214  3.33434859 -0.21986044],[-1.09930214  3.33434859 -0.21986044],[-1.07731619  3.27298513 -0.10773162],[-1.07731615  3.26766177 -0.21546324],[-1.07731615  3.26766177 -0.21546324],[-1.05533013  3.20792581  0.        ],[-1.03334402  3.11377959  0.4133376 ],[-1.03334402  3.11377959  0.4133376 ],[-1.01135807  3.03238809  0.50567901],[-1.00915943  3.324388   -0.89703055],[-0.9695846   3.3065008   0.10773162],[-0.96958458  3.29243053 -0.32319485],[-0.94979715  3.23385933 -0.21106602],[-0.94979715  3.23385933  0.21106602]","[ 0.02880836  3.2336915  -0.18604016],[ 0.03339358  3.282708   -0.20403923],[ 0.04514417  3.3722174  -0.2549273 ],[ 0.04738888  3.3742406  -0.2876973 ],[ 0.03630434  3.3044348  -0.2166448 ],[ 0.06112066  3.2871594  -0.2168942 ],[ 0.0753758   3.3228004  -0.25913993],[ 0.08115005  3.2787495  -0.30037874],[ 0.08232357  3.2699394  -0.30875987],[ 0.00969365  3.2867494  -0.22288115],[-1.3368279e-03  3.2629960e+00 -2.6672381e-01],[-0.00666276  3.1772552  -0.30805954],[-0.00776263  3.160107   -0.31659585],[ 0.06363988  3.3786862  -0.30178285],[ 0.06000166  3.3032079  -0.3690026 ],[ 0.0625215   3.3538237  -0.42689136],[ 0.0326279  3.3685176 -0.3033928],[ 0.03021494  3.285303   -0.37086016],[ 0.03519717  3.2669868  -0.43336082]",Righthand wave
43.21742057800293,2024-06-24 14:49:56.681567,"[-1.29717665  3.94307557  0.        ],[-1.27519058  3.87624371  0.        ],[-1.20923237  3.29607385 -0.21986044],[-1.20923237  3.29607385 -0.21986044],[-1.11249388  2.95551978  0.70795065],[-1.11249388  2.95551978  0.70795065],[-1.11249385  2.9967616   0.50567901],[-1.07731619  3.27298513 -0.10773162],[-1.07731615  3.26766177 -0.21546324],[-1.05533012  3.20618945 -0.10553301],[-1.03334406  3.14109395  0.        ],[-1.00915943  3.324388   -0.89703055],[-1.00915939  3.35263309 -0.78490179],[-1.00915939  3.35263309 -0.78490179],[-0.989372    2.96646654  0.49468598],[-0.98937196  3.22753321 -0.98937194],[-0.98937191  3.31070689 -0.65958128],[-0.96958454  3.26410803 -0.53865807],[-0.94979715  3.23385933 -0.21106602],[-0.94979709  3.21312927 -0.42213203],[-0.93000969  3.16648719 -0.20666881],[-0.8926335   1.76234856  3.57053348],[-0.86185291  3.29419262 -0.53865807],[-0.84426406  3.22696413 -0.52766504],[-0.72334085  3.18498025 -0.51667201]","[ 0.02633801  3.2094188  -0.1824329 ],[ 0.03085101  3.2486465  -0.20173375],[ 0.0433834   3.3358238  -0.25453985],[ 0.04735516  3.3410168  -0.28832638],[ 0.03391255  3.2695198  -0.21463381],[ 0.05937324  3.2594688  -0.21483251],[ 0.07528308  3.3138068  -0.25623465],[ 0.08402559  3.278776   -0.29780844],[ 0.08579656  3.2717698  -0.30623   ],[ 0.00769617  3.2526817  -0.22225115],[-2.2913218e-03  3.2437491e+00 -2.6655754e-01],[-0.00768672  3.1578004  -0.30886677],[-0.00880124  3.140611   -0.31760648],[ 0.06397198  3.3436909  -0.3062046 ],[ 0.05984539  3.2907457  -0.37361023],[ 0.05897625  3.251661   -0.4396836 ],[ 0.03233726  3.3341918  -0.30657473],[ 0.03368261  3.274544   -0.3742002 ],[ 0.0355321   3.2238255  -0.44093722]",Righthand wave
