elapsedtime,Timestamp,SortedPointCloud,Keypoints3D,label
45.43757438659668,2024-06-24 17:27:02.758402,"[-4.48515291  1.63774598  0.29901019],[-4.48515291  1.63774598  0.29901019],[-4.48515291  1.63774598  0.29901019],[-4.41919515  1.61366162  0.29461301],[-4.41919515  1.61366162  0.29461301],[-4.4191951   1.57968611  0.4419195 ],[ 0.45071395  1.32175271 -2.52399774],[0.63319806 2.16049327 0.        ],[0.6331981  2.15934741 0.07035534],[0.65298552 2.22800876 0.        ],[0.65298552 2.22800876 0.        ],[0.65298556 2.22682709 0.07255395],[0.65298556 2.22682709 0.07255395],[0.66837571 2.5546799  0.41773482],[0.67277291 2.29552402 0.        ],[0.67277293 2.2845435  0.22425764],[0.67277295 2.29430654 0.07475255],[0.67277296 2.29065027 0.14950509],[ 0.69256039  2.35173603 -0.23085346],[ 0.69256042  2.35802241 -0.15390231],[ 0.71234788  2.42539456 -0.15829952],[0.73213527 2.49674535 0.08134836],[0.73213527 2.49276647 0.16269672],[0.75192271 2.55331339 0.25064089],[ 0.76951152  2.33404406 -0.15390231],[ 0.77171013  2.5637783  -0.60021903],[ 0.77171015  2.4895766  -0.85745574],[ 0.79149759  2.39419849 -0.23744928],[ 0.79149759  2.39419849 -0.23744928],[ 0.7914976   2.66457804 -0.43972088],[ 0.79149761  2.55341197 -0.87944181],[ 0.81348357  2.19489874 -1.13887706],[ 0.81348357  2.23523032 -1.05752865],[ 0.83546964  2.25422039 -1.16965755],[ 0.83546964  2.25422039 -1.16965755],[ 0.85745571  2.31354204 -1.20043805],[ 0.85745571  2.31354204 -1.20043805]","[ 0.38940683  2.488022   -0.16686346],[ 0.39285412  2.4044597  -0.18205301],[ 0.3953679   2.450374   -0.25918105],[ 0.39364228  2.4714491  -0.30560434],[ 0.3934683  2.4155183 -0.2008977],[ 0.42224762  2.2617588  -0.20347014],[ 0.42224762  2.2617588  -0.2703071 ],[ 0.42224762  2.2617588  -0.33180517],[ 0.42224762  2.2617588  -0.35675237],[ 0.36881468  2.3788965  -0.21783356],[ 0.37764755  2.333105   -0.28093028],[ 0.34931248  2.3866875  -0.33154503],[ 0.34379748  2.397404   -0.34139645],[ 0.41233328  2.4937255  -0.34756652],[ 0.41822383  2.4499164  -0.44283038],[ 0.4521555  2.2326212 -0.5372757],[ 0.37420228  2.4941483  -0.35060462],[ 0.40788695  2.34809    -0.44574225],[ 0.40788695  2.34809    -0.5362369 ]",None
45.754194259643555,2024-06-24 17:27:02.877852,"[-4.70281471  1.11479001  0.45511109],[-4.48515291  1.63774598  0.29901019],[-4.48515291  1.63774598  0.29901019],[-4.41919515  1.61366162  0.29461301],[ 0.3605711   1.64247956 -2.34371229],[0.58043158 2.2468307  0.07255395],[0.58043161 2.24331361 0.1451079 ],[ 0.600219    2.43432876 -1.11469242],[ 0.600219    2.43432876 -1.11469242],[ 0.61560925  2.49674752 -1.14327431],[ 0.61560925  2.49674752 -1.14327431],[ 0.63099944  2.55916606 -1.1718561 ],[0.65078685 2.48745141 0.40674178],[0.66837571 2.5546799  0.41773482],[0.66837573 2.53960791 0.50128178],[0.67277291 2.29552402 0.        ],[0.67277295 2.29430654 0.07475255],[0.67277295 2.29430654 0.07475255],[0.68596458 2.60643977 0.51447342],[0.68596459 2.64424667 0.25723671],[ 0.69256041  2.36178622 -0.07695115],[ 0.69256042  2.35802241 -0.15390231],[ 0.71234786  2.41892856 -0.23744928],[ 0.71234787  2.4292659  -0.07914976],[0.71234787 2.4292659  0.07914976],[ 0.72114224  2.53524063 -1.1718561 ],[0.73213523 2.47678704 0.32539342],[0.76951155 2.33911255 0.        ],[0.81348357 2.45127325 0.32539342]","[ 0.3673512   2.5558786  -0.16496485],[ 0.37318042  2.4677434  -0.17865805],[ 0.37415054  2.5163412  -0.25214863],[ 0.37406942  2.5326378  -0.29706722],[ 0.37342325  2.479731   -0.19705397],[ 0.3948497   2.352417   -0.20908652],[ 0.3948497  2.352417  -0.2733714],[ 0.3948497  2.352417  -0.3338953],[ 0.3948497  2.352417  -0.3578899],[ 0.35250923  2.4277625  -0.21384256],[ 0.35709527  2.3822155  -0.2757771 ],[ 0.33327857  2.4470344  -0.3275445 ],[ 0.32866582  2.4599984  -0.33757064],[ 0.3946375   2.5547183  -0.33440903],[ 0.41241428  2.4974241  -0.42606807],[ 0.41241428  2.4974241  -0.5111829 ],[ 0.34980303  2.5634673  -0.33209497],[ 0.34020633  2.5236225  -0.42265594],[ 0.34020633  2.5236225  -0.50688726]",None
62.58702278137207,2024-06-24 17:27:02.995459,"[-4.70281473  1.19451605  0.1517037 ],[-4.70281473  1.19451605  0.1517037 ],[-4.63465792  1.17720421  0.14950509],[ 0.27042835  1.78017727 -2.25356946],[ 0.36057111  2.64964577 -1.08171331],[ 0.36936554  2.67471412 -1.20043798],[ 0.36936554  2.67471412 -1.20043798],[ 0.37815996  2.73839786 -1.22901987],[ 0.37815996  2.73839786 -1.22901987],[ 0.46170688  1.51732368 -2.4932175 ],[ 0.46170694  1.65957788 -2.40087606],[ 0.46170694  1.78579743 -2.30853463],[ 0.47269992  1.55345047 -2.55257988],[0.48809017 2.55179833 0.16269672],[0.52326783 2.33295022 0.07475255],[0.52326783 2.33295022 0.07475255],[0.53865807 2.39786512 0.15390231],[0.53865808 2.40156648 0.07695115],[ 0.55404832  2.47018274 -0.07914976],[0.5694385  2.51917365 0.32539342],[0.56943851 2.37726575 0.89483198],[0.58482875 2.58725949 0.33418785],[0.58482878 2.57509044 0.41773482],[0.63319805 2.45236564 0.        ],[0.63319809 2.45108802 0.07914976],[0.65078691 2.51523023 0.16269672],[ 0.66837574  2.41997936 -0.91901666],[0.68596456 2.62190839 0.42872785],[0.68596462 2.65118877 0.17149115],[ 0.77171016  2.45837207 -0.94320133],[ 0.77171016  2.51747601 -0.77171015],[ 0.79149762  2.58202674 -0.79149761],[ 0.83546965  2.3982491  -0.83546967],[ 0.87944179  2.52447288 -0.87944181],[3.41003554 9.31558386 0.        ],[ 4.85214746e+00 -2.12094110e-07  1.51703702e-01]","[ 0.3440906   2.6263762  -0.16917643],[ 0.34974402  2.5514672  -0.18644588],[ 0.35569742  2.5748847  -0.25766915],[ 0.3571852  2.5875146 -0.3010868],[ 0.351235    2.5572915  -0.20428206],[ 0.36907706  2.4127269  -0.21082897],[ 0.36907706  2.4127269  -0.27370253],[ 0.36907706  2.4127269  -0.33213124],[ 0.36907706  2.4127269  -0.35559905],[ 0.32913616  2.4915795  -0.21774882],[ 0.34143612  2.4279406  -0.27710134],[ 0.3263885   2.4402814  -0.33283243],[ 0.32339722  2.4427497  -0.34391108],[ 0.37394884  2.6347268  -0.33248222],[ 0.40315428  2.5249116  -0.42410472],[ 0.43842795  2.4093196  -0.513127  ],[ 0.33339128  2.6158578  -0.3301361 ],[ 0.31425086  2.6221216  -0.4180764 ],[ 0.31425086  2.6221216  -0.49939653]",None
55.01961708068848,2024-06-24 17:27:03.056917,"[-4.8391284   1.23901233  0.        ],[-4.83912835  1.22913974  0.15610092],[-4.77097155  1.18214593  0.30780462],[-4.77097154  1.2118279   0.15390231],[-4.77097154  1.2118279   0.15390231],[-4.70281474  1.16525811  0.3034074 ],[-4.70281474  1.16525811  0.3034074 ],[ 0.19347719  2.90054498 -1.06412454],[ 0.28361998  2.82672995 -1.03993995],[ 0.3078046   2.34290674 -0.69256037],[ 0.38475575  2.427318   -0.15390231],[ 0.43972092  2.68913688 -0.7035534 ],[ 0.44851527  2.33893062 -0.22425764],[0.44851527 2.33893062 0.22425764],[ 0.4507139   2.34197815 -1.62256995],[0.46170691 2.41876462 0.        ],[0.47489855 2.48787225 0.        ],[ 0.47489855  2.47651493 -0.23744928],[0.47489856 2.40594442 0.63319805],[0.48809014 2.50996274 0.48809014],[0.48809016 2.47277606 0.65078684],[0.48809017 2.55179833 0.16269672],[0.5012818  2.51613726 0.75192269],[0.50128181 2.56013861 0.58482878],[0.53865807 2.39786512 0.15390231],[0.53865809 2.402799   0.        ],[0.55404832 2.46637562 0.15829952],[0.55404834 2.47145047 0.        ],[ 0.56943852  2.53879876 -0.08134836],[0.58482875 2.59668488 0.25064089],[ 0.64638971  1.30617647 -3.12421691],[ 0.66837574  2.45007799 -0.83546967],[ 0.68596457  2.58803947 -0.60021903],[ 0.68596459  2.5145538  -0.85745574],[ 0.68596462  2.56664445 -0.68596455],[ 0.70355342  2.60736326 -0.79149761],[ 0.70355342  2.60736326 -0.79149761],[ 0.79149761  2.55341197 -0.87944181],[ 3.12201831  9.4849772  -0.31220183],[ 3.38585085  9.24439286 -0.30780462],[ 3.41003552  9.3104243  -0.31000322],[ 3.41003552  9.3104243  -0.31000322]","[ 0.33397415  2.658595   -0.17093387],[ 0.33774227  2.5902388  -0.18951634],[ 0.3457407   2.6021907  -0.25979525],[ 0.34787774  2.614722   -0.30311736],[ 0.33974198  2.5932167  -0.20708686],[ 0.36309692  2.4471116  -0.20896365],[ 0.36309692  2.4471116  -0.27110288],[ 0.36309692  2.4471116  -0.32864344],[ 0.36309692  2.4471116  -0.3518372 ],[ 0.32116356  2.5172234  -0.22116382],[ 0.33196613  2.4355645  -0.27938583],[ 0.32199678  2.4480388  -0.3358903 ],[ 0.3200151   2.4505336  -0.34712213],[ 0.36862007  2.64572    -0.33428103],[ 0.39983144  2.534853   -0.42571968],[ 0.44023862  2.4014285  -0.51385754],[ 0.32631585  2.630607   -0.33569965],[ 0.3076806  2.641029  -0.4235809],[ 0.3076806  2.641029  -0.5045131]",None
46.93293571472168,2024-06-24 17:27:03.177877,"[ 0.30780463  2.4382711  -0.15390231],[ 0.30780463  2.4382711  -0.15390231],[ 0.32539345  2.57760079 -0.16269672],[ 0.37376274  2.36151802 -0.07475255],[ 0.38475575  2.427318   -0.15390231],[0.38475576 2.43219213 0.        ],[ 0.39574878  2.49667001 -0.15829952],[ 0.39574878  2.49667001 -0.15829952],[0.39574879 2.50168341 0.        ],[ 0.39574881  2.49038907 -0.23744928],[ 0.40674178  2.56602179 -0.16269672],[ 0.4067418   2.56988725 -0.08134836],[0.41773483 2.6194339  0.33418785],[0.41773483 2.6194339  0.33418785],[0.42872788 2.69792147 0.25723671],[ 0.48809015  2.54530685 -0.24404507],[ 0.50128179  2.614099   -0.25064089],[0.51447342 2.69519492 0.        ],[ 0.58482876  2.6033964  -0.16709393],[ 0.60021899  2.65534534 -0.34298228],[ 0.60021901  2.62751076 -0.51447342],[ 0.61560925  2.73335265 -0.26383253],[ 0.61560925  2.67616321 -0.61560927],[ 0.70355342  2.65439953 -0.61560927],[ 0.70355343  2.67327163 -0.52766506],[ 0.72114222  2.67254719 -0.811285  ],[ 0.72114224  2.64350519 -0.9014278 ],[ 0.79149763  2.60736326 -0.7035534 ],[ 3.41003552  9.3104243  -0.31000322],[ 3.41003552  9.3104243  -0.31000322]","[ 0.30815557  2.7162719  -0.18037276],[ 0.31503984  2.6383703  -0.19725248],[ 0.31647843  2.674131   -0.26858854],[ 0.3180447  2.692645  -0.3115182],[ 0.31539583  2.6471295  -0.21490408],[ 0.33371198  2.4983706  -0.221271  ],[ 0.33371198  2.4983706  -0.28332534],[ 0.33371198  2.4983706  -0.34030157],[ 0.33371198  2.4983706  -0.3634636 ],[ 0.29327527  2.5667732  -0.22579499],[ 0.30307466  2.5083702  -0.2852849 ],[ 0.30349696  2.5021882  -0.3422669 ],[ 0.3035816   2.500952   -0.35369706],[ 0.33705705  2.7378483  -0.33311754],[ 0.37433097  2.6031773  -0.4183487 ],[ 0.4266285  2.421815  -0.5004453],[ 0.29598588  2.7020483  -0.3353896 ],[ 0.28942192  2.6995277  -0.42276752],[ 0.28942192  2.6995277  -0.50349396]",None
57.65199661254883,2024-06-24 17:27:03.295661,"[ 0.23085346  2.4503838  -0.07695115],[ 0.23744928  2.52039484 -0.07914976],[ 0.30780463  2.4382711  -0.15390231],[ 0.30780463  2.4382711  -0.15390231],[ 0.31659905  2.50793606 -0.15829952],[ 0.31659905  2.50793606 -0.15829952],[ 0.32539345  2.58144891 -0.08134836],[ 0.32539345  2.57760079 -0.16269672],[ 0.32539345  2.57760079 -0.16269672],[ 0.33418788  2.64726575 -0.16709393],[ 0.33418788  2.64726575 -0.16709393],[0.34298228 2.72233755 0.        ],[0.35177673 2.78659568 0.17588836],[ 0.41773484  2.62874392 -0.25064089],[ 0.41773484  2.62874392 -0.25064089],[0.42872787 2.70880023 0.08574557],[ 0.48809016  2.52442192 -0.40674178],[ 0.51447344  2.69383061 -0.08574557],[ 0.51447346  2.68973352 -0.17149115],[ 0.54085669  2.76225481 -0.63099947],[ 0.54085669  2.76225481 -0.63099947],[ 0.55404833  2.82962695 -0.64638972],[ 0.55404833  2.82962695 -0.64638972]","[ 0.28824827  2.762979   -0.17945607],[ 0.2924804   2.695323   -0.19893757],[ 0.29357353  2.731716   -0.2695696 ],[ 0.2933458   2.7502367  -0.31082258],[ 0.2927538   2.7043338  -0.21660273],[ 0.32001764  2.56056    -0.21820845],[ 0.32001764  2.56056    -0.28010952],[ 0.32001764  2.56056    -0.3369387 ],[ 0.32001764  2.56056    -0.36004356],[ 0.27144688  2.615958   -0.22722995],[ 0.2885008  2.5582902 -0.2855845],[ 0.28143415  2.5156143  -0.34257877],[ 0.27999192  2.5070791  -0.35421044],[ 0.3117609   2.792527   -0.32734504],[ 0.34119043  2.7220137  -0.4103951 ],[ 0.39673713  2.5150826  -0.48532552],[ 0.27172583  2.7690835  -0.3297344 ],[ 0.2804341   2.7271965  -0.41635644],[ 0.2804341   2.7271965  -0.49805072]",None
46.90384864807129,2024-06-24 17:27:03.358479,"[-4.97544198  1.23280938  0.32099626],[-4.97544194  1.17941559  0.48149437],[ 0.10993022  3.47282067 -0.54965107],[ 0.10993022  3.47282067 -0.54965107],[ 0.11212883  3.5582135  -0.44851528],[ 0.11212883  3.54227716 -0.5606441 ],[ 0.15829951  2.52287921 -0.15829952],[0.15829951 2.52287921 0.15829952],[0.15829951 2.52287921 0.15829952],[0.18028557 2.82766849 0.54085666],[0.24404507 2.59168265 0.        ],[0.24404507 2.59168265 0.        ],[0.24404508 2.59040564 0.08134836],[0.25064089 2.6617282  0.        ],[0.25064089 2.6617282  0.        ],[0.25064089 2.6617282  0.        ],[ 0.2506409   2.66041668 -0.08354697],[0.25723671 2.73177376 0.        ],[ 0.25723672  2.73042772 -0.08574557],[ 0.25723672  2.73042772 -0.08574557],[0.26383253 2.80181931 0.        ],[ 0.26383254  2.76709902 -0.43972088],[0.26383254 2.77964829 0.3517767 ],[0.34298228 2.72233755 0.        ],[0.35177673 2.77964828 0.26383253],[ 0.55404832  2.78099387 -0.83107246],[ 5.12589913e+00 -2.24060176e-07  3.20996256e-01]","[ 0.27620244  2.8010654  -0.17707229],[ 0.28011224  2.737314   -0.1973208 ],[ 0.28279942  2.7698715  -0.26715276],[ 0.28200993  2.7917747  -0.30772403],[ 0.280792    2.7454767  -0.21498469],[ 0.30677947  2.8270583  -0.21613374],[ 0.30677947  2.8270583  -0.2730568 ],[ 0.30677947  2.8270583  -0.32520735],[ 0.30677947  2.8270583  -0.34645414],[ 0.26008415  2.6439834  -0.22380413],[ 0.260323    2.6264946  -0.28483573],[ 0.26938906  2.5498283  -0.3407742 ],[ 0.27126807  2.534495   -0.35236797],[ 0.30006525  2.8258934  -0.32835615],[ 0.33701408  2.7302158  -0.41031322],[ 0.33701408  2.7302158  -0.49316478],[ 0.26315802  2.8050668  -0.33183387],[ 0.27540734  2.740045   -0.4197465 ],[ 0.27540734  2.740045   -0.5023008 ]",None
41.39566421508789,2024-06-24 17:27:03.479039,"[-4.97544194  1.17941559  0.48149437],[-4.88090168  1.78225297  0.32539344],[ 0.08134836  2.60060413 -0.08134836],[0.08134836 2.60187613 0.        ],[ 0.08354697  2.6708908  -0.08354697],[0.08354697 2.67219718 0.        ],[ 0.08574557  2.74117748 -0.08574557],[ 0.08574557  2.74117748 -0.08574557],[0.09234139 2.90104833 0.5540483 ],[0.09234139 2.90104833 0.5540483 ],[0.16269672 2.59678439 0.08134836],[0.16709393 2.66696783 0.08354697],[0.16709393 2.66696783 0.08354697],[ 0.17149115  2.73715127 -0.08574557],[0.17149115 2.738494   0.        ],[ 0.17588836  2.78659568 -0.3517767 ],[0.17588836 2.6948829  0.79149761],[0.17588836 2.7404174  0.61560927],[ 0.17588836  2.79629303 -0.26383253],[0.18028556 2.7871471  0.7211422 ],[ 0.18028557  2.82766849 -0.54085666],[0.18028557 2.82766849 0.54085666],[0.18028557 2.82766849 0.54085666],[ 0.18468278  2.91278164 -0.46170691],[ 0.27042834  2.82047523 -0.54085666],[ 0.27702416  2.87002018 -0.64638972]","[ 0.25556678  2.8694565  -0.18017209],[ 0.26418754  2.7865937  -0.19607544],[ 0.2614441   2.829762   -0.26337552],[ 0.26088366  2.8256304  -0.30433536],[ 0.2634692  2.797769  -0.2136972],[ 0.2887882   2.8562076  -0.22145823],[ 0.2887882  2.8562076 -0.2787324],[ 0.2887882   2.8562076  -0.33109358],[ 0.2887882  2.8562076 -0.3524714],[ 0.23861456  2.728418   -0.22252333],[ 0.23216996  2.6962063  -0.2821263 ],[ 0.22241688  2.6634443  -0.33730882],[ 0.21844018  2.6503134  -0.35980892],[ 0.28561416  2.8244047  -0.31143644],[ 0.25460085  2.7367759  -0.39363244],[ 0.25460085  2.7367759  -0.47765267],[ 0.23647869  2.8579369  -0.31337655],[ 0.25359038  2.7685957  -0.40047663],[ 0.3016912  2.8620062 -0.4543119]",None
44.83604431152344,2024-06-24 17:27:03.539941,"[0.08354697 2.6708908  0.08354697],[0.08354697 2.67219718 0.        ],[0.09453999 2.97012099 0.56723994],[ 0.16709393  2.66696783 -0.08354697],[ 0.17149115  2.73715127 -0.08574557],[ 0.17149115  2.73715127 -0.08574557],[ 0.17149115  2.73715127 -0.08574557],[0.17149115 2.738494   0.        ],[ 0.17588835  2.80319918 -0.17588836],[ 0.17588836  2.80733471 -0.08794418],[ 0.17588836  2.80733471 -0.08794418],[ 0.18028556  2.87751791 -0.09014278],[0.18028556 2.84342962 0.45071388],[0.18028557 2.82766849 0.54085666],[0.18028557 2.82766849 0.54085666],[0.18468277 2.87743818 0.64638972],[0.18468278 2.91278164 0.46170691],[0.18468278 2.89663609 0.5540483 ],[0.18468278 2.89663609 0.5540483 ],[0.18907999 2.96560369 0.56723994]","[ 0.24745277  2.8987346  -0.18205726],[ 0.2554164   2.8083491  -0.19633487],[ 0.25124162  2.8592248  -0.26221374],[ 0.25085604  2.8505626  -0.30344725],[ 0.2543076  2.8216836 -0.2138315],[ 0.27900428  2.8833818  -0.22149716],[ 0.27900428  2.8833818  -0.2784611 ],[ 0.27900428  2.8833818  -0.3305116 ],[ 0.27900428  2.8833818  -0.35177362],[ 0.22875392  2.7543266  -0.22169338],[ 0.21843207  2.7411726  -0.2805086 ],[ 0.20106092  2.7437243  -0.3323495 ],[ 0.19405696  2.7447546  -0.3532514 ],[ 0.27597222  2.8384635  -0.30773413],[ 0.25628617  2.7815313  -0.39365262],[ 0.25628617  2.7815313  -0.47782522],[ 0.22697473  2.8916075  -0.3094109 ],[ 0.25317731  2.7611868  -0.39355043],[ 0.27190095  2.8693318  -0.4630811 ]",None
40.837764739990234,2024-06-24 17:27:03.657335,"[-0.10553301  3.20618945 -1.05533013],[-0.08794418  2.81146415  0.08794418],[-0.08574557  2.73715127  0.17149115],[-0.08354697  2.6708908   0.08354697],[ 0.          2.67219718 -0.08354697],[0.         2.67219718 0.08354697],[ 0.          2.74251824 -0.08574557],[0.         2.74251824 0.08574557],[0.         2.81421375 0.        ],[0.         2.81421375 0.        ],[0.09234139 2.95203727 0.09234139],[0.09234139 2.90104833 0.5540483 ],[0.09453999 2.97012099 0.56723994],[0.09453999 2.97012099 0.56723994],[0.09454    2.98662595 0.47269995],[ 0.17149115  2.73715127 -0.08574557],[ 0.17588836  2.56549921 -1.14327431],[ 0.17588837  2.75870113 -0.52766506],[ 0.18028556  2.80892768 -0.63099947],[ 0.18028556  2.7871471  -0.7211422 ],[ 0.18028557  2.82766849 -0.54085666],[ 0.18468277  2.87743818 -0.64638972],[ 0.18468277  2.87743818 -0.64638972],[0.18468278 2.91278164 0.46170691],[ 0.18907999  2.92310564 -0.7563199 ],[ 0.19347718  2.93422676 -0.96738593],[ 0.28361997  2.91545152 -0.7563199 ]","[ 0.2328333   2.9586866  -0.18313606],[ 0.23882091  2.8639317  -0.19731036],[ 0.24010918  2.9001274  -0.2620196 ],[ 0.24243972  2.8989708  -0.30301586],[ 0.23916519  2.8735156  -0.2146029 ],[ 0.26506177  2.9272242  -0.21997155],[ 0.26506177  2.9272242  -0.27627087],[ 0.26506177  2.9272242  -0.32769105],[ 0.26506177  2.9272242  -0.348705  ],[ 0.21230805  2.805716   -0.22089127],[ 0.20060274  2.8188653  -0.27823153],[ 0.17494184  2.8011708  -0.3254225 ],[ 0.16977069  2.797632   -0.3349323 ],[ 0.26748767  2.8842208  -0.30651906],[ 0.23296216  2.7839065  -0.38577437],[ 0.26920047  2.8242939  -0.45756862],[ 0.22194687  2.9636605  -0.31039757],[ 0.25276726  2.7419481  -0.38691595],[ 0.27031708  2.8569968  -0.45675328]",None
