elapsedtime,Timestamp,SortedPointCloud,Keypoints3D,label
51.38731003,08:54.8,"[-1.29717664  3.9409413  -0.12971766],[-1.29717664  3.9409413  -0.12971766],[-1.14767156  3.91381722 -0.12751906],[-1.02015246  3.94897508 -0.12751906],[-1.0025636   3.88088923  0.12532045],[-0.98497469  3.81479078  0.        ],[-0.96738595  3.74471776 -0.12092324],[-0.9673859   3.74666968  0.        ],[-0.89263339  3.97973879 -0.12751906],[-0.87724317  3.91312978  0.        ],[-0.86185292  3.8444783   0.        ],[-0.8618529   3.84250627 -0.12312184],[-0.7519227   3.93713694 -0.12532045]","[ 0.07786018  3.927851   -0.22806627],[ 0.07326455  3.8858943  -0.24273494],[ 0.07266803  3.9395     -0.28648952],[ 0.07055502  3.9156423  -0.3132613 ],[ 0.07311337  3.8993428  -0.25382507],[ 0.10109791  3.9225132  -0.24695134],[ 0.10155785  3.9753962  -0.28334925],[ 0.10155785  3.9753962  -0.31694075],[ 0.10155785  3.9753962  -0.33067504],[ 0.04641406  3.8291204  -0.25216624],[ 0.04641406  3.8291204  -0.29094186],[ 0.04641406  3.8291204  -0.3258166 ],[ 0.04641406  3.8291204  -0.34007552],[ 0.0850493   3.929103   -0.31248042],[ 0.07992922  3.873987   -0.36972344],[ 0.07718202  3.9718766  -0.41818878],[ 0.05646786  3.9057817  -0.3116578 ],[ 0.05215502  3.6993032  -0.3651034 ],[ 0.04830272  3.627848   -0.42542845]",lefthand wave
61.1782074,08:54.9,"[-1.6181729   6.26389163  0.20227161],[-1.60058404  6.19580578  0.20007301],[-1.42689433  3.8958514  -0.12971766],[-1.27519057  3.87414561 -0.12751906],[-1.27519057  3.87414561 -0.12751906],[-1.25320451  3.80734993 -0.12532045],[-1.23121844  3.74055424 -0.12312184],[-1.14767156  3.90758005 -0.25503811],[-1.1278841   3.84020791 -0.2506409 ],[-1.08830921  3.69558525 -0.36276972],[-1.08830915  3.64177771 -0.72553944],[-1.0685217   3.59718018 -0.59362316],[-1.0685217   3.59718018 -0.59362316],[-1.06852169  3.5755635  -0.7123478 ],[-1.04873424  3.53056566 -0.58263013],[-1.04873424  3.53056566 -0.58263013],[-1.04873423  3.50934929 -0.69915616],[-0.93220829  3.48800385 -0.93220819],[-0.87724314  3.9050946  -0.2506409 ],[-0.86185289  3.83658409 -0.24624369],[-0.8464627   3.77389025 -0.12092324],[-0.75192268  3.9211485  -0.37596134],[-0.73873108  3.86218129 -0.24624369],[-0.73873108  3.86218129 -0.24624369],[-0.72553948  3.79321393 -0.24184649],[ 5.46133364  3.25525326 -1.21362962]","[ 0.07163307  3.8651977  -0.21449834],[ 0.07272153  3.85588    -0.2309814 ],[ 0.07242739  3.9078403  -0.27504176],[ 0.07090782  3.8988845  -0.30229548],[ 0.07264654  3.8689911  -0.2422108 ],[ 0.09457858  3.8771005  -0.24713641],[ 0.09918597  3.9530318  -0.28233457],[ 0.09918597  3.9530318  -0.31611404],[ 0.09918597  3.9530318  -0.3299252 ],[ 0.05054024  3.8608885  -0.24624698],[ 0.05054024  3.8608885  -0.28442347],[ 0.05054024  3.8608885  -0.3190091 ],[ 0.05054024  3.8608885  -0.33314988],[ 0.08351651  3.9027426  -0.3115721 ],[ 0.07994442  3.847629   -0.37098134],[ 0.07816248  3.9758687  -0.41666484],[ 0.05719909  3.8748856  -0.31057572],[ 0.04720308  3.6307902  -0.36324632],[ 0.04431777  3.5085003  -0.42470983]",lefthand wave
16.10040665,08:55.0,"[-1.82044457  6.20812399  0.20227161],[-1.37852498  3.7637885  -0.12532045],[-1.08830918  3.71334785  0.        ],[-1.06852172  3.64583237  0.        ],[-1.04873432  3.57071958 -0.23305206],[-1.04873426  3.57831688  0.        ],[-1.02894685  3.41837106 -0.80029204],[-1.00256364  3.87481425 -0.2506409 ],[-0.96738595  3.74471776 -0.12092324],[-0.9497971   3.67663192 -0.11872464],[-0.9497971   3.67663192 -0.11872464],[-0.93220819  3.610427    0.        ],[-0.87724314  3.9050946  -0.2506409 ],[-0.86185289  3.83658409 -0.24624369],[-0.8464627   3.76807382 -0.24184649],[-0.75192272  3.93114889 -0.2506409 ],[-0.73873108  3.86218129 -0.24624369],[-0.73873104  3.85235635 -0.36936552],[-0.72553945  3.78356443 -0.36276972],[ 6.20226316  1.53678974 -0.40014601]","[ 0.06327629  3.8119693  -0.2180715 ],[ 0.07101543  3.8165927  -0.23309365],[ 0.06810148  3.8472815  -0.27791414],[ 0.06726193  3.8378649  -0.3049429 ],[ 0.07027236  3.8243718  -0.24452293],[ 0.09292682  3.8378713  -0.24748002],[ 0.09968014  3.907616   -0.28297064],[ 0.09968014  3.907616   -0.3171371 ],[ 0.09968014  3.907616   -0.33110645],[ 0.04756103  3.7956076  -0.24540828],[ 0.04756103  3.7956076  -0.28409034],[ 0.04756103  3.7956076  -0.31926504],[ 0.04756103  3.7956076  -0.33364663],[ 0.08228514  3.8448682  -0.31252635],[ 0.07955512  3.8280025  -0.3735181 ],[ 0.07785615  3.9716303  -0.41658705],[ 0.05189835  3.8103237  -0.31345606],[ 0.04405713  3.5534124  -0.3679572 ],[ 0.03945807  3.399047   -0.42913792]",lefthand wave
47.99604416,08:55.1,"[-1.4510789   3.56877252 -0.36276972],[-1.2312184   3.7344704  -0.24624369],[-1.20923245  3.67375878 -0.12092324],[-1.12788407  3.82997008 -0.37596134],[-1.12128825  3.31681534 -0.78490179],[-1.06852178  3.64389873 -0.11872464],[-1.06852172  3.64583237  0.        ],[-1.06852172  3.64583237  0.        ],[-1.04873432  3.57071958 -0.23305206],[-1.04873432  3.57641906 -0.11652603],[-1.04873432  3.57641906  0.11652603],[-1.04873426  3.57831688  0.        ],[-1.02894689  3.49400789 -0.34298228],[-1.02894686  3.51080162  0.        ],[-1.02894686  3.51080162  0.        ],[-1.00915943  3.324388   -0.89703055],[-0.86185289  3.82669343 -0.36936552],[-0.8464627   3.76807382 -0.24184649],[-0.73873108  3.86218129 -0.24624369],[-0.72553948  3.79321393 -0.24184649]","[ 0.06351827  3.7220957  -0.21706022],[ 0.06500655  3.7344046  -0.23438822],[ 0.06425433  3.7801309  -0.27982533],[ 0.06330095  3.7758594  -0.30716583],[ 0.06481427  3.7459896  -0.24600482],[ 0.08672069  3.7702515  -0.2483821 ],[ 0.09466046  3.846667   -0.2838553 ],[ 0.09466046  3.846667   -0.31855518],[ 0.09466046  3.846667   -0.33274266],[ 0.04308698  3.7266805  -0.24847104],[ 0.04308698  3.7266805  -0.28778422],[ 0.04308698  3.7266805  -0.32360134],[ 0.04308698  3.7266805  -0.3382456 ],[ 0.07750577  3.7966552  -0.31494772],[ 0.07734877  3.8753316  -0.37100902],[ 0.07686968  3.974078   -0.4177605 ],[ 0.04834072  3.7548792  -0.3146621 ],[ 0.04091772  3.4974132  -0.36832127],[ 0.03357036  3.354497   -0.43016666]",lefthand wave
58.8953495,08:55.2,"[-1.33015566  3.62568136 -0.24184649],[-1.30597098  3.55975982 -0.23744927],[-1.30597098  3.53592188 -0.47489853],[-1.2312184   3.7344704  -0.24624369],[-1.2092324   3.66778358 -0.24184649],[-1.2092324   3.66778358 -0.24184649],[-1.18724635  3.59129762 -0.3561739 ],[-1.14327434  3.35273841 -0.9146194 ],[-1.14327429  3.45828668 -0.34298228],[-1.04873432  3.57641906 -0.11652603],[-1.02894693  3.50334767  0.22865486],[-1.02894686  3.51080162  0.        ],[-1.00915946  3.44145993  0.11212882],[-1.00915943  3.42681536  0.33638646],[-1.00915943  3.324388   -0.89703055],[-1.00915942  3.29208394 -1.0091594 ],[-1.00915939  3.39733685 -0.5606441 ],[-0.98937193  3.28689512 -0.76951154],[-0.98937191  3.31070689 -0.65958128],[-0.93220825  3.59346326  0.34957808],[-0.93220825  3.60854607  0.11652603]","[ 0.05571102  3.6278207  -0.21676837],[ 0.05702227  3.6354985  -0.2346525 ],[ 0.05871248  3.6852417  -0.2814917 ],[ 0.05835494  3.6828175  -0.30904058],[ 0.05745211  3.6480215  -0.2465647 ],[ 0.07864727  3.6384676  -0.24925412],[ 0.08378547  3.7411494  -0.2844106 ],[ 0.08378547  3.7411494  -0.3200798 ],[ 0.08378547  3.7411494  -0.33466357],[ 0.03406726  3.6063745  -0.2480224 ],[ 0.03406726  3.6063745  -0.28859642],[ 0.03406726  3.6063745  -0.32559866],[ 0.03406726  3.6063745  -0.34072748],[ 0.07285137  3.6946838  -0.3186858 ],[ 0.07633257  3.7098432  -0.37980732],[ 0.07596113  3.9108114  -0.41627175],[ 0.04282983  3.6508124  -0.3170918 ],[ 0.03459363  3.4040809  -0.37392104],[ 0.03005962  3.2921605  -0.43884185]",lefthand wave
17.10534096,08:55.3,"[-1.30597098  3.55975982 -0.23744927],[-1.18724634  3.60109654 -0.23744927],[-1.16526028  3.52479203 -0.34957808],[-1.16526027  3.5344095  -0.23305206],[-1.14327428  3.46772268 -0.22865486],[-1.12128825  3.3413637  -0.67277292],[-1.12128825  3.40657627 -0.11212882],[-1.12128821  3.40103563 -0.22425765],[-1.09930219  3.3415893   0.        ],[-1.09930219  3.2758467  -0.65958128],[-1.09930216  3.32527551 -0.32979064],[-1.07731619  3.27475767  0.        ],[-1.07731619  3.21032991 -0.64638969],[-1.07731615  3.24628099 -0.43092645],[-1.06852178  3.64389873 -0.11872464],[-1.04873432  3.57641906 -0.11652603],[-1.02894692  3.50893961 -0.11432743],[-1.02894689  3.49400789 -0.34298228],[-1.00915946  3.44145993 -0.11212882],[-0.989372    3.37398025 -0.10993022],[-0.98937193  3.28689512 -0.76951154]","[ 0.04842812  3.5409205  -0.21523388],[ 0.04978089  3.5306518  -0.23301014],[ 0.05264895  3.5955045  -0.28119192],[ 0.05264474  3.5951505  -0.30917695],[ 0.05050363  3.5467727  -0.24515155],[ 0.07373856  3.565322   -0.24524426],[ 0.07865538  3.6603935  -0.28184417],[ 0.08981091  3.655336   -0.31660348],[ 0.09204572  3.6543245  -0.32356688],[ 0.02839407  3.5370843  -0.24865605],[ 0.02839407  3.5370843  -0.29000184],[ 0.02839407  3.5370843  -0.32772186],[ 0.02839407  3.5370843  -0.34314415],[ 0.06718336  3.6354275  -0.3190009 ],[ 0.0704346   3.694979   -0.37777272],[ 0.07246965  3.8789346  -0.41848925],[ 0.03677459  3.5754235  -0.31876034],[ 0.03289913  3.3431232  -0.37684348],[ 0.02834661  3.2439685  -0.44440478]",lefthand wave
43.09916496,08:55.4,"[-1.56980351  3.20892244  0.33638646],[-1.51483835  3.40726577  0.        ],[-1.48625656  3.34297788  0.        ],[-1.39831234  3.45475607 -0.11652603],[-1.37192915  3.38957215 -0.11432743],[-1.2334171   3.36760026  0.11212882],[-1.2334171   3.36760026  0.11212882],[-1.20923234  3.28689513  0.32979064],[-1.09930219  3.3415893   0.        ],[-1.09930218  3.33978059  0.10993022],[-1.09930218  3.33978059  0.10993022],[-1.07731619  3.27475767  0.        ],[-1.07731619  3.27298513  0.10773162],[-1.07731619  3.27298513  0.10773162],[-1.07731615  3.26766177  0.21546324],[-1.05533012  3.20618945  0.10553301],[-1.05533012  3.20618945  0.10553301]","[ 0.04372121  3.4510627  -0.20911998],[ 0.04520378  3.447888   -0.22760886],[ 0.04715374  3.5162816  -0.2780602 ],[ 0.04687119  3.5194304  -0.30719817],[ 0.04568438  3.464497   -0.24004398],[ 0.0686751   3.482562   -0.24204019],[ 0.07533343  3.5806549  -0.28034082],[ 0.08398779  3.5373662  -0.31697837],[ 0.08754468  3.5198767  -0.33203623],[ 0.02184999  3.4476833  -0.2418938 ],[ 0.01448941  3.5113266  -0.28193367],[ 0.01448941  3.5113266  -0.3203768 ],[ 0.01448941  3.5113266  -0.33590853],[ 0.06195801  3.5527003  -0.3179599 ],[ 0.06590195  3.595313   -0.37820816],[ 0.06934445  3.8219066  -0.41462332],[ 0.03133604  3.5062978  -0.31911817],[ 0.02927844  3.307126   -0.38005883],[ 0.03137274  3.2120633  -0.44941697]",lefthand wave
42.85526276,08:55.5,"[-1.93477181  5.85248494  0.58043154],[-1.37192915  3.38957215 -0.11432743],[-1.37192915  3.38957215 -0.11432743],[-1.34554587  3.324388   -0.11212882],[-1.34554587  3.324388   -0.11212882],[-1.25760177  3.43363171 -0.11432743],[-1.2334171   3.36760026 -0.11212882],[-1.20923242  3.30156881 -0.10993022],[-1.20923237  3.29607385 -0.21986044],[-1.18504778  3.23015252  0.21546324],[-1.12128822  3.39178109 -0.33638646],[-1.09930219  3.29607384 -0.54965107],[-1.09930219  3.29607384 -0.54965107],[-1.09930219  3.29607384 -0.54965107],[-1.07731619  3.23015251 -0.53865807],[-1.07731619  3.23015251 -0.53865807],[-1.07731619  3.18674423 -0.75412135],[-1.07731615  3.26766177  0.21546324],[-1.05533014  2.99051579 -1.16086316],[-1.05533013  3.16423096 -0.52766504],[-1.05533012  3.20618945  0.10553301],[-1.05533009  3.20097473  0.21106602],[-1.03334406  3.13939376  0.10333441]","[ 0.03750142  3.3702834  -0.20341945],[ 0.03885201  3.360362   -0.22256243],[ 0.04158483  3.4349637  -0.27494097],[ 0.04162005  3.439729   -0.30571395],[ 0.03951621  3.378194   -0.23529294],[ 0.06309719  3.3924088  -0.23729074],[ 0.07237433  3.4853666  -0.27637318],[ 0.07877094  3.426718   -0.31310308],[ 0.08148736  3.4024048  -0.32870093],[ 0.01518908  3.3620434  -0.23754218],[ 0.00393051  3.4065971  -0.27837208],[-2.9648095e-03  3.3236384e+00 -3.1588480e-01],[-0.00592528  3.2892475  -0.3319907 ],[ 0.05779953  3.4690359  -0.31650546],[ 0.06138937  3.4836855  -0.3795967 ],[ 0.06138937  3.4836855  -0.44025037],[ 0.02538352  3.428044   -0.31780106],[ 0.02357531  3.2892783  -0.3833305 ],[ 0.02756651  3.2112548  -0.45054492]",lefthand wave
64.3851757,08:55.6,"[-1.45767469  3.27677185 -0.11212882],[-1.34554587  3.324388   -0.11212882],[-1.2334171   3.36946648  0.        ],[-1.20923242  3.30156881 -0.10993022],[-1.20923237  3.29607385 -0.21986044],[-1.20923237  3.29607385 -0.21986044],[-1.18504775  3.22115738 -0.32319485],[-1.1608631   3.14304169  0.42213203],[-1.13667841  3.08968143  0.31000321],[-1.09930216  3.32527551 -0.32979064],[-1.07731619  3.27475767  0.        ],[-1.07731619  3.21032991  0.64638969],[-1.07731616  3.25877016 -0.32319485],[-1.05533013  3.16423096  0.52766504],[-1.05533008  3.18003029  0.42213203],[-1.03334402  3.13428768  0.20666881],[-1.03334402  3.13428768  0.20666881],[-0.94979712  3.225238   -0.31659903],[-0.86185292  3.68132251 -1.10809657]","[ 0.03099002  3.3136535  -0.20183674],[ 0.03386641  3.3145385  -0.22125386],[ 0.0388315   3.3878896  -0.27437267],[ 0.03916867  3.3973475  -0.30588207],[ 0.03507361  3.3320792  -0.23416905],[ 0.05944806  3.3506851  -0.23478577],[ 0.06859002  3.4253714  -0.27503952],[ 0.07685803  3.355225   -0.31196398],[ 0.07855327  3.3411958  -0.31953496],[ 0.0104509   3.317831   -0.23744799],[-1.1392087e-03  3.3551562e+00 -2.7847171e-01],[-0.00798127  3.266616   -0.31684116],[-0.01089238  3.2303464  -0.33316624],[ 0.05505139  3.428677   -0.32113045],[ 0.05654182  3.428319   -0.38536525],[ 0.05654182  3.428319   -0.44637206],[ 0.02381197  3.3889341  -0.32305568],[ 0.01642787  3.2083187  -0.3875687 ],[ 0.02665277  3.2011738  -0.45235914]",lefthand wave
42.38080978,08:55.7,"[-1.93477185  5.87801387  0.19347719],[-1.91278572  5.80176651  0.38255716],[-1.74129463  5.94135638  0.        ],[-1.20923237  3.29607385 -0.21986044],[-1.12128825  3.40842116  0.        ],[-1.12128825  3.40657627 -0.11212882],[-1.09930216  3.32527551 -0.32979064],[-1.07731619  3.27298513 -0.10773162],[-1.07731619  3.27298513 -0.10773162],[-1.07731619  3.27298513 -0.10773162],[-1.05533013  3.20792581  0.        ],[-1.05533013  3.20792581  0.        ],[-1.05533012  3.20618945 -0.10553301],[-1.05533012  3.20618945 -0.10553301],[-1.03334406  3.14109395  0.        ],[-1.03334406  3.14109395  0.        ],[-1.03334406  3.14109395  0.        ],[-1.03334406  3.13939376 -0.10333441],[-1.01135807  3.07426232  0.        ],[-1.01135806  3.07259831  0.10113581],[-0.98937197  3.35962283 -0.32979064],[-0.96958458  3.29243053 -0.32319485],[ 5.92963587  1.40560478 -0.57383572]","[ 0.02915877  3.2870305  -0.20028889],[ 0.03204633  3.291538   -0.21979274],[ 0.03750989  3.3647807  -0.27337515],[ 0.03795165  3.3747652  -0.30498376],[ 0.03337294  3.3090274  -0.23280302],[ 0.05813946  3.3315697  -0.23317045],[ 0.0663529   3.4094865  -0.27325958],[ 0.07507558  3.315977   -0.30942214],[ 0.0768795  3.297275  -0.3169008],[ 0.00885506  3.2936223  -0.23707412],[-2.1228939e-03  3.3221717e+00 -2.7869719e-01],[-0.0057285   3.235699   -0.31830376],[-0.00723867  3.2008035  -0.33489278],[ 0.05416402  3.3924463  -0.32380942],[ 0.05377285  3.4048355  -0.38794288],[ 0.05377285  3.4048355  -0.44896725],[ 0.02211311  3.3675911  -0.32468745],[ 0.0119649  3.1800482 -0.3890323],[ 0.02424271  3.1969795  -0.4521411 ]",lefthand wave
