elapsedtime,Timestamp,SortedPointCloud,Keypoints3D,label
56.94389343261719,2024-06-24 15:54:08.850682,"[-1.68852815  2.91699048  0.21106602],[-1.65335045  2.83369996  0.4133376 ],[-1.65335044  2.85621978  0.20666881],[-1.61817286  2.77340861  0.4045432 ],[-1.61817285  2.79544929  0.20227161],[-1.58299513  2.98305818  0.        ],[-1.55001603  2.92091107  0.        ],[-1.51703704  2.85876417  0.        ],[-1.51703704  2.85876417  0.        ],[-1.50824262  3.09810362  0.10773162],[-1.48405799  2.7948664   0.0989372 ],[-1.45107884  2.73446994  0.        ],[-1.44668164  2.96625545 -0.20666881],[-1.40051104  3.10371781 -0.53865807],[-1.40051102  3.13349038 -0.32319485],[-1.400511    3.15011379  0.        ],[-1.38512081  2.8469168   0.        ],[-1.38512081  2.8469168   0.        ],[-1.37192912  3.08402058 -0.10553301],[-1.35434032  2.78365191  0.        ],[-1.35434026  2.78197048 -0.09673859],[-1.26639612  3.11456507 -0.31659903]","[-0.04986292  2.9999514  -0.32408193],[-0.03828415  3.032602   -0.3355518 ],[-0.02749184  3.070725   -0.37809953],[-0.0311494  3.0364573 -0.4065014],[-0.03555117  3.0421662  -0.34632632],[-0.0118437   3.040187   -0.34300184],[-0.01576412  2.9880064  -0.38227028],[-0.03061195  2.9721923  -0.3504798 ],[-0.0336005   2.9690294  -0.34408107],[-0.06583577  2.9491236  -0.33332545],[-0.08941717  2.8024604  -0.36303335],[-0.05565964  2.9033341  -0.34206873],[-0.04255333  2.944483   -0.33392927],[-0.02119887  3.0432127  -0.41459182],[-0.02119887  3.0432127  -0.47124627],[-0.02119887  3.0432127  -0.52453834],[-0.04312481  3.0432649  -0.41164234],[-0.04312481  3.0432649  -0.4682958 ],[-0.04312481  3.0432649  -0.52158695]",None
62.688589096069336,2024-06-24 15:54:08.969240,"[-1.48405802  2.78082175  0.29681159],[-1.484058    2.78960795  0.1978744 ],[-1.45107888  2.69135038  0.48369294],[-1.41809991  2.66562545 -0.18907999],[-1.41809991  2.66562545 -0.18907999],[-1.4159013   2.91018168  0.        ],[-1.38512081  2.8469168   0.        ],[-1.35434027  2.75662555  0.38695435],[-1.35434026  2.77692     0.19347718],[-1.31476544  2.95032405 -0.20227161]","[-0.04441593  2.9666355  -0.32278097],[-0.03071038  3.0148175  -0.33072308],[-0.0159898   3.0327609  -0.37366802],[-0.01516029  3.0146573  -0.4020857 ],[-0.02700085  3.019319   -0.34154502],[-0.007641   3.0146387 -0.3443942],[-0.01538962  2.9481044  -0.38346002],[-0.0046721   3.0002477  -0.34823492],[-4.0161610e-04  3.0215423e+00 -3.3419928e-01],[-0.05530252  2.9127986  -0.33884567],[-0.06496985  2.892346   -0.37853754],[-0.06113515  2.853481   -0.3450687 ],[-0.05953895  2.837609   -0.33113697],[-0.00810307  3.0089717  -0.42232153],[-0.00810307  3.0089717  -0.47962162],[-0.00810307  3.0089717  -0.533521  ],[-0.02933967  3.0111456  -0.41629553],[-0.02933967  3.0111456  -0.47355422],[-0.02933967  3.0111456  -0.5274147 ]",None
57.61218070983887,2024-06-24 15:54:09.088321,"[-1.41809991  2.66562545  0.18907999],[-1.4180999   2.6706502   0.09453999],[-1.4180999   2.6706502   0.09453999],[-1.35434026  2.77692    -0.19347718],[-1.29277943  2.65712236  0.        ],[-1.29277938  2.65551736 -0.09234139],[-1.29277938  2.65551736 -0.09234139],[-1.28618359  2.85035304 -0.49468598],[-1.28618354  2.86576512 -0.39574878],[-1.25760165  2.80208138 -0.38695435],[-1.2400129   3.00203784 -0.62000641],[-1.24001284  3.06365163  0.10333441],[-1.24001283  2.97882818 -0.72334085],[-1.16086308  3.15541941  0.31659903],[-1.13667841  3.04266748 -0.62000641],[-1.11249388  2.95551978 -0.70795065],[-1.11249387  2.92944884 -0.8090864 ],[-1.11249387  2.92944884 -0.8090864 ],[-1.11249382  2.97793002 -0.60681481],[-1.0883092   2.86576511 -0.79149755],[-1.08830917  2.83658315 -0.89043478],[-1.08830917  2.83658315 -0.89043478],[-1.06412451  2.57222802 -1.35434032],[-1.0641245   2.7735479  -0.87064732],[-1.06412449  2.70522341 -1.06412454]","[-0.03225093  2.8950288  -0.32610327],[-0.02313697  2.9684672  -0.33159727],[-0.01145945  2.9910183  -0.376115  ],[-0.01014212  2.9739149  -0.4050432 ],[-0.0201907   2.9741247  -0.34282926],[-1.9051433e-03  2.9524119e+00 -3.4842941e-01],[-1.9051433e-03  2.9524119e+00 -3.8779986e-01],[-1.9051433e-03  2.9524119e+00 -4.2369303e-01],[-1.9051433e-03  2.9524119e+00 -4.3835959e-01],[-0.04820991  2.8636837  -0.33947128],[-0.05109268  2.8793156  -0.3789644 ],[-0.05700722  2.7570767  -0.35755023],[-0.05825362  2.7326288  -0.3530375 ],[ 4.8628449e-04  2.9495945e+00 -4.3498701e-01],[ 4.8628449e-04  2.9495945e+00 -4.9376088e-01],[ 4.8628449e-04  2.9495945e+00 -5.4916841e-01],[-0.02307414  2.954931   -0.43293926],[-0.02307414  2.954931   -0.49160692],[-0.02307414  2.954931   -0.54691446]",None
49.6068000793457,2024-06-24 15:54:09.146304,"[-1.45107889  2.7327582   0.09673859],[-1.35434032  2.78365191  0.        ],[-1.32355992  2.72038724  0.        ],[-1.32355988  2.71380833 -0.18907999],[-1.32355987  2.71874403 -0.09453999],[-1.32355987  2.71874403 -0.09453999],[-1.29277938  2.65069644 -0.18468277],[-1.29277938  2.65551736 -0.09234139],[-1.29277938  2.65551736 -0.09234139],[-1.28618356  2.8912693  -0.0989372 ],[-1.26199889  2.57972193 -0.27042833],[-1.26199888  2.59229069 -0.09014278],[-1.25760168  2.81374634 -0.29021577],[-1.24001284  3.06365163  0.10333441],[-1.21362965  2.98479161 -0.30340741],[-1.21362964  2.9984677  -0.10113581],[-1.21362964  2.9984677  -0.10113581],[-1.200438    2.69851803 -0.09234139],[-1.18724637  2.91990477 -0.29681159],[-1.17185611  2.63426754 -0.09014278],[-1.17185611  2.63426754 -0.09014278],[-1.11249388  2.95551978 -0.70795065],[-1.0883092   2.89126928 -0.69256041],[-1.06412453  2.82701879 -0.67717016],[-0.98937197  2.84003188 -0.989372  ]","[-0.02531058  2.8485036  -0.32884276],[-0.01680067  2.9223833  -0.33524436],[-0.00593182  2.9475164  -0.3814634 ],[-0.00489177  2.932207   -0.4114092 ],[-0.01405635  2.9286888  -0.34691426],[ 0.00606705  2.9113197  -0.35103273],[ 0.00606705  2.9113197  -0.3923666 ],[ 0.00606705  2.9113197  -0.4294913 ],[ 0.00606705  2.9113197  -0.44466448],[-0.04268564  2.8196228  -0.34243673],[-0.06355707  2.6401749  -0.36906895],[-0.04335618  2.782945   -0.34006235],[-0.03568432  2.8412962  -0.3290463 ],[ 1.0773689e-03  2.9325764e+00 -4.3994153e-01],[ 1.0773689e-03  2.9325764e+00 -5.0024724e-01],[ 1.0773689e-03  2.9325764e+00 -5.5705231e-01],[-0.01773214  2.9288747  -0.43516284],[-0.01773214  2.9288747  -0.4955448 ],[-0.01773214  2.9288747  -0.5524217 ]",None
60.33134460449219,2024-06-24 15:54:09.269420,"[-1.5082427   2.97776116 -0.8618529 ],[-1.50824269  2.94444524 -0.96958455],[-1.4774622   2.91699046 -0.84426405],[-1.47746219  2.88435445 -0.94979709],[-1.42909283  3.05835269 -0.98937194],[-1.35434026  2.77692     0.19347718],[-1.32355988  2.71380833  0.18907999],[-1.32355988  2.71380833  0.18907999],[-1.29277943  2.65712236  0.        ],[-1.25760167  2.82701881  0.09673859],[-1.22901988  2.76276853  0.09453999],[-1.200438    2.69851803  0.09234139],[-1.200438    2.69851803  0.09234139],[-1.17185611  2.63426754 -0.09014278],[-1.17185611  2.63426754 -0.09014278],[-1.17185611  2.63426754 -0.09014278],[-1.14327431  2.56549921 -0.17588836],[-1.14327431  2.56549921 -0.17588836],[-1.08830917  2.83658315 -0.89043478],[-1.06412449  2.900545   -0.19347718],[-1.03993995  2.83934935 -0.09453999],[-1.01575527  2.7733179  -0.09234139]","[-0.0181307  2.790347  -0.3314879],[-0.00826718  2.865395   -0.33863184],[ 0.00550373  2.9286542  -0.38460445],[ 2.4763942e-03  2.8985379e+00 -4.1662487e-01],[-0.00475553  2.8812654  -0.3503551 ],[ 0.01918817  2.8696258  -0.34925058],[ 0.01918817  2.8696258  -0.3927724 ],[ 0.01918817  2.8696258  -0.43234465],[ 0.01918817  2.8696258  -0.44845694],[-0.02876671  2.7362614  -0.34243864],[-0.0339957   2.7343583  -0.38789806],[-0.03889821  2.6431825  -0.3553648 ],[-0.0409926   2.6060593  -0.34146634],[ 0.01676357  2.9084308  -0.42549032],[ 0.01676357  2.9084308  -0.4891356 ],[ 0.01676357  2.9084308  -0.5490441 ],[-0.00825629  2.8911483  -0.42924368],[-0.00825629  2.8911483  -0.49326938],[-0.00825629  2.8911483  -0.55353594]",None
53.603410720825195,2024-06-24 15:54:09.385384,"[-1.3851208   2.6036341   0.18468277],[-1.37192915  2.93601866 -0.94979709],[-1.37192915  2.93601866 -0.94979709],[-1.37192915  2.93601866 -0.94979709],[-1.34334726  2.87485154 -0.93000963],[-1.34334726  2.87485154 -0.93000963],[-1.34334726  2.87485154 -0.93000963],[-1.32355988  2.69397511  0.37815995],[-1.29277938  2.64264204  0.27702415],[-1.16086313  2.84352225  0.38695435],[-1.13447989  2.80291548  0.09453999],[-1.10809661  2.73773133  0.09234139],[-1.08830921  2.97141202  0.0989372 ],[-1.08830917  2.96646655  0.1978744 ],[-1.08171331  2.67406698  0.        ],[-1.06412454  2.90699065  0.        ],[-1.06412454  2.90538057  0.09673859],[-1.05533014  2.60736326 -0.08794418],[-1.05533014  2.60736326 -0.08794418],[-1.03993995  2.83934935 -0.09453999],[-0.9915706   2.70728645  0.09014278]","[-1.5067607e-03  2.7291367e+00 -3.2585144e-01],[-2.1187961e-04  2.7970469e+00 -3.3703890e-01],[ 0.01739269  2.8955657  -0.38064662],[ 0.01265906  2.864836   -0.4135778 ],[ 0.00432025  2.8217633  -0.3482653 ],[ 0.02976546  2.8334734  -0.3451037 ],[ 0.02976546  2.8334734  -0.38999575],[ 0.02976546  2.8334734  -0.43096456],[ 0.02976546  2.8334734  -0.4476349 ],[-0.02214324  2.6668587  -0.34124622],[-0.01689911  2.640184   -0.38952458],[-0.02319846  2.5764785  -0.3506906 ],[-0.02585176  2.5505567  -0.33433366],[ 0.03291062  2.8863997  -0.4090559 ],[ 0.03291062  2.8863997  -0.4745721 ],[ 0.03291062  2.8863997  -0.5362261 ],[-0.00507829  2.8432455  -0.41664997],[-0.00507829  2.8432455  -0.4831606 ],[-0.00507829  2.8432455  -0.5457503 ]",None
53.38621139526367,2024-06-24 15:54:09.445343,"[-1.3851208   2.6036341   0.18468277],[-1.29277938  2.64264204  0.27702415],[-1.28618358  2.75251751 -0.89043478],[-1.25760169  2.69135038 -0.87064732],[-1.21362966  2.82456932 -1.01135807],[-1.18724638  2.76316558 -0.989372  ],[-1.17185611  2.63426754  0.09014278],[-1.1718561   2.62963654 -0.18028556],[-1.1718561  2.6358094  0.       ],[-1.1608631   2.70176183 -0.96738593],[-1.06412454  2.90538057  0.09673859],[-1.05533019  2.55492599 -0.52766506],[-1.05533014  2.60736326 -0.08794418],[-1.05533014  2.60736326 -0.08794418],[-1.02894691  2.50723339 -0.42872785],[-1.0289469   2.52039481 -0.34298228],[-1.02894686  2.53058416 -0.25723671],[-1.02894686  2.53783721 -0.17149115],[-0.99157054  2.65424186 -0.54085666],[-0.96738595  2.5895044  -0.52766506],[-0.96738589  2.93422678 -0.19347718],[-0.96738589  2.91502771 -0.38695435],[-0.94539994  2.83462367 -0.47269995],[-0.94539994  2.87376697  0.        ],[-0.9453999   2.86753996 -0.18907999],[-0.92341387  2.76870212 -0.46170691],[-0.89043483  3.03658232 -0.0989372 ],[-0.83107247  2.81148814 -0.36936553]","[ 0.00865783  2.7039418  -0.3151592 ],[ 0.0095717  2.744129  -0.3325741],[ 0.01875     2.8105845  -0.38304698],[ 0.01622255  2.7989295  -0.41691843],[ 0.01191586  2.7608013  -0.345465  ],[ 0.03373735  2.8261456  -0.34646344],[ 0.04179993  2.8745937  -0.38790113],[ 0.04179993  2.8745937  -0.42875674],[ 0.04179993  2.8745937  -0.44541043],[-0.01724814  2.6360104  -0.34579065],[ 0.004474    2.6180377  -0.38975033],[-0.01191685  2.618972   -0.3479823 ],[-0.01859479  2.619353   -0.33096528],[ 0.03492172  2.8476796  -0.41580153],[ 0.03492172  2.8476796  -0.48310494],[ 0.03492172  2.8476796  -0.5464309 ],[-2.6316792e-03  2.8035457e+00 -4.1744348e-01],[-2.6316792e-03  2.8035457e+00 -4.8580647e-01],[-2.6316792e-03  2.8035457e+00 -5.5012935e-01]",None
48.33626747131348,2024-06-24 15:54:09.570304,"[-1.14327432  2.57001726 -0.08794418],[-1.03993994  2.67900383 -0.94539994],[-1.0399399   2.6437412  -1.03993995],[-1.02894686  2.53783721 -0.17149115],[-1.01575526  2.61670135  0.92341387],[-1.01575523  2.58225878 -1.01575528],[-1.01575523  2.58225878 -1.01575528],[-0.99157055  2.6846814  -0.3605711 ],[-0.99157054  2.65424186 -0.54085666],[-0.96738596  2.63685925 -0.17588836],[-0.96738594  2.62951628 -0.26383253],[-0.96738594  2.62951628 -0.26383253],[-0.94320129  2.57093771 -0.17149115],[-0.94320127  2.56377831 -0.25723671],[-0.94320127  2.56377831 -0.25723671],[-0.91901661  2.48824131 -0.33418785],[-0.91901661  2.48824131 -0.33418785],[-0.90142778  2.72672595 -0.27042833],[-0.85085991  2.82672997 -0.66177996],[-0.83107245  2.760992   -0.64638972],[-0.83107244  2.78099388 -0.5540483 ],[-0.75631994  2.87376698 -0.56723994]","[ 0.02618673  2.7346032  -0.3068775 ],[ 0.02267203  2.711526   -0.32776144],[ 0.0276971  2.6745427 -0.3863225],[ 0.02592316  2.6404767  -0.423289  ],[ 0.02391979  2.7022476  -0.34230253],[ 0.0427554  2.8006818 -0.3455866],[ 0.04918118  2.8541403  -0.38764507],[ 0.04918118  2.8541403  -0.42928445],[ 0.04918118  2.8541403  -0.44628832],[-0.00443217  2.6273997  -0.34777802],[-0.01800643  2.4146976  -0.34571305],[ 0.00360723  2.5997488  -0.3235923 ],[ 0.0115736   2.6753163  -0.31543905],[ 0.04028286  2.6682386  -0.43862402],[ 0.04028286  2.6682386  -0.51144224],[ 0.04028286  2.6682386  -0.57994616],[ 0.01745468  2.6586568  -0.44240025],[ 0.01745468  2.6586568  -0.5154809 ],[ 0.01745468  2.6586568  -0.5842317 ]",None
55.29904365539551,2024-06-24 15:54:09.688805,"[-1.200438    2.68584886  0.27702415],[-1.10809661  2.73305544  0.18468277],[-1.08171333  2.66798263  0.18028556],[-1.08171333  2.66798263  0.18028556],[-1.05533014  2.60736326  0.08794418],[-1.05533014  2.60736326  0.08794418],[-1.05533014  2.60291003  0.17588836],[-1.02894686  2.54217911  0.08574557],[-1.02894686  2.53783721  0.17149115],[-1.00256358  2.4727644   0.16709393],[-1.00256356  2.47840355  0.        ],[-0.9915706   2.70878675  0.        ],[-0.94320133  2.57522378 -0.08574557],[-0.91901661  2.48824131 -0.33418785],[-0.87944181  2.62067753 -0.52766506],[-0.87064737  2.964371   -0.19347718],[-0.8706473   2.93103567 -0.48369294],[-0.85745574  2.55516053 -0.51447342],[-0.83546967  2.48964352 -0.50128178],[-0.83107249  2.82208328 -0.27702415],[-0.83107247  2.81148814 -0.36936553],[-0.81128499  2.73119234 -0.45071388],[-0.77390877  2.99108466 -0.19347718],[-0.77171013  2.5637783  -0.60021903],[-0.75631995  2.9154515  -0.28361997],[-0.75631995  2.9154515  -0.28361997],[-0.75631991  2.89082213 -0.47269995],[-0.75192267  2.49804032 -0.58482878]","[ 0.04421699  2.7205358  -0.31209123],[ 0.03027289  2.6917286  -0.3288114 ],[ 0.03682746  2.680573   -0.38716376],[ 0.03527839  2.6416538  -0.4242833 ],[ 0.03191219  2.68893    -0.34340525],[ 0.05298822  2.7935076  -0.34202367],[ 0.06199554  2.8299284  -0.38560542],[ 0.05583641  2.7498877  -0.35023135],[ 0.05321531  2.7171826  -0.33517754],[ 0.00349627  2.5859365  -0.34623408],[ 0.00433043  2.3771372  -0.36070734],[ 0.01414904  2.54909    -0.32885358],[ 0.01779003  2.6193507  -0.31704152],[ 0.05562924  2.6302419  -0.42390272],[ 0.05562924  2.6302419  -0.49807218],[ 0.05562924  2.6302419  -0.56784356],[ 0.01530118  2.6546953  -0.42443272],[ 0.01530118  2.6546953  -0.49791896],[ 0.01530118  2.6546953  -0.5670477 ]",None
54.024457931518555,2024-06-24 15:54:09.750221,"[-1.1432743   2.54734687 -0.3517767 ],[-1.02894686  2.53058416 -0.25723671],[-1.01575522  2.75016151  0.36936553],[-0.99157059  2.63426752 -0.63099947],[-0.99157055  2.70278058 -0.18028556],[-0.96738597  2.60587969 -0.43972088],[-0.94320128  2.55372142 -0.34298228],[-0.91901661  2.48824131 -0.33418785],[-0.91901659  2.49804034 -0.25064089],[-0.9014278   2.68619432 -0.54085666],[-0.90142778  2.72672595  0.27042833],[-0.87944181  2.62067753 -0.52766506],[-0.8706473   2.89246772 -0.67717016],[-0.8706473   2.89246772 -0.67717016],[-0.85745574  2.55516053 -0.51447342],[-0.85085995  2.88927581 -0.28361997],[-0.83546967  2.50501615 -0.41773482],[-0.81348361  2.4390946  -0.40674178],[-0.81348357  2.45127325 -0.32539342],[-0.79149763  2.60736326 -0.7035534 ],[-0.77171017  2.54217911 -0.68596455],[-0.75631994  2.87376698 -0.56723994],[-0.75631991  2.89082213 -0.47269995],[-0.75192271  2.47699496 -0.6683757 ],[-0.73873108  2.80693512 -0.5540483 ],[-0.73873105  2.83715058 -0.36936553],[-0.73873105  2.83715058 -0.36936553],[-0.70355345  2.54734684 -0.96738601],[-0.6859646   2.4493835  -1.02894684]","[ 0.04454574  2.6368644  -0.3144713 ],[ 0.03557085  2.6773458  -0.32946482],[ 0.04105876  2.6769354  -0.38782007],[ 0.03915277  2.6486306  -0.42480475],[ 0.03694749  2.677243   -0.34410322],[ 0.05796631  2.7851248  -0.3416188 ],[ 0.05867402  2.8284216  -0.38535202],[ 0.05901809  2.7774892  -0.3465449 ],[ 0.05916236  2.7566733  -0.3302717 ],[ 0.01040813  2.5726018  -0.34982213],[ 0.00812344  2.364372   -0.34730577],[ 0.02176431  2.5603456  -0.3302148 ],[ 0.02675644  2.64044    -0.3239601 ],[ 0.05954118  2.6332002  -0.42497802],[ 0.05954118  2.6332002  -0.49912536],[ 0.05954118  2.6332002  -0.5688746 ],[ 0.01977411  2.6727862  -0.42196393],[ 0.01977411  2.6727862  -0.4950131 ],[ 0.01977411  2.6727862  -0.5637293 ]",None
